-0.438721,-0.010010,0.854004,-0.487805,0.000000,-5.548780,0.000000.1,0.000000.2,0.000000.3
-0.434082,-0.008057,0.858887,-0.060976,-1.158537,-4.512195,0.0,0.0,0.0
-0.445801,0.008301,0.883789,0.121951,-2.012195,-4.573171,0.0,0.0,0.0
-0.438477,0.013672,0.907715,0.0,-2.378049,-4.939024,0.0,0.0,0.0
-0.446289,0.012451,0.917725,0.243902,-1.95122,-5.609756,0.0,0.0,0.0
-0.444336,0.007812,0.927246,0.060976,-1.036585,-6.341464,0.0,0.0,0.0
-0.443115,-0.010498,0.928223,0.121951,-0.182927,-6.646342,0.0,0.0,0.0
-0.439941,-0.024658,0.931396,0.121951,0.365854,-6.646342,0.0,0.0,0.0
-0.439209,-0.041992,0.925049,0.487805,0.97561,-5.97561,0.0,0.0,0.0
-0.44043,-0.041504,0.918213,0.914634,1.463415,-5.0,0.0,0.0,0.0
-0.440918,-0.018066,0.931641,0.853659,1.402439,-4.085366,0.0,0.0,0.0
-0.454834,0.002197,0.937744,0.548781,1.402439,-3.719512,0.0,0.0,0.0
-0.463867,0.02124,0.945557,-0.304878,1.280488,-5.182927,0.0,0.0,0.0
-0.455566,0.010742,0.953369,0.0,2.378049,-7.195122,0.0,0.0,0.0
-0.460693,-0.013916,0.945068,0.121951,3.170732,-8.109756,0.0,0.0,0.0
-0.458252,-0.024902,0.959717,0.609756,4.207317,-8.536586,0.0,0.0,0.0
-0.460449,-0.044189,0.95752,0.121951,5.426829,-8.170732,0.0,0.0,0.0
-0.457031,-0.063477,0.950195,0.426829,6.890244,-7.073171,0.0,0.0,0.0
-0.454102,-0.069092,0.926514,-0.182927,7.621952,-6.036585,0.0,0.0,0.0
-0.465576,-0.061279,0.903564,0.426829,8.292683,-4.573171,0.0,0.0,0.0
-0.450439,-0.061279,0.876465,1.341463,8.353659,-2.865854,0.0,0.0,0.0
-0.450928,-0.038086,0.863281,1.463415,7.743903,-1.768293,0.0,0.0,0.0
-0.450439,-0.018066,0.853271,1.829268,7.012195,-1.646341,0.0,0.0,0.0
-0.452148,-0.014893,0.848389,2.012195,6.158537,-1.95122,0.0,0.0,0.0
-0.446289,-0.007324,0.841553,1.95122,5.731708,-1.95122,0.0,0.0,0.0
-0.454834,-0.000732,0.830811,1.829268,5.0,-2.560976,0.0,0.0,0.0
-0.446533,-0.009033,0.818115,1.768293,4.329268,-3.536585,0.0,0.0,0.0
-0.440918,-0.014404,0.805176,1.219512,2.987805,-3.658537,0.0,0.0,0.0
-0.440186,-0.025391,0.800537,0.914634,1.219512,-3.719512,0.0,0.0,0.0
-0.441406,-0.025635,0.809082,1.646341,-0.243902,-3.963415,0.0,0.0,0.0
-0.438965,-0.028076,0.827637,2.317073,-1.52439,-3.841464,0.0,0.0,0.0
-0.431885,-0.018799,0.843994,2.378049,-2.865854,-3.658537,0.0,0.0,0.0
-0.437988,-0.026611,0.859619,2.134146,-3.353659,-3.963415,0.0,0.0,0.0
-0.43457,-0.019287,0.87793,1.768293,-3.719512,-3.658537,0.0,0.0,0.0
-0.435547,-0.02832,0.879883,1.646341,-3.109756,-3.353659,0.0,0.0,0.0
-0.436279,-0.032959,0.880371,2.195122,-3.414634,-3.780488,0.0,0.0,0.0
-0.432861,-0.042236,0.88501,2.134146,-3.414634,-3.292683,0.0,0.0,0.0
-0.442627,-0.045898,0.880859,2.439024,-3.597561,-2.682927,0.0,0.0,0.0
-0.440674,-0.054688,0.89209,2.621951,-3.963415,-1.768293,0.0,0.0,0.0
-0.439697,-0.054443,0.889893,2.865854,-4.146341,-0.182927,0.0,0.0,0.0
-0.446289,-0.044434,0.896729,2.256098,-4.02439,0.792683,0.0,0.0,0.0
-0.443604,-0.025391,0.902588,1.463415,-4.268293,1.158537,0.0,0.0,0.0
-0.450928,-0.020508,0.915527,0.97561,-4.085366,0.97561,0.0,0.0,0.0
-0.451172,-0.022461,0.912598,0.97561,-3.902439,0.914634,0.0,0.0,0.0
-0.452637,-0.031982,0.926025,0.731707,-4.146341,0.731707,0.0,0.0,0.0
-0.44165,-0.035645,0.933594,1.52439,-3.597561,1.158537,0.0,0.0,0.0
-0.442627,-0.032471,0.932617,1.280488,-2.804878,2.012195,0.0,0.0,0.0
-0.442383,-0.03833,0.928223,0.853659,-1.890244,3.170732,0.0,0.0,0.0
-0.440918,-0.029297,0.929443,0.731707,-1.890244,4.085366,0.0,0.0,0.0
-0.447998,-0.020508,0.917969,0.243902,-1.402439,5.060976,0.0,0.0,0.0
-0.455078,0.010498,0.919434,-0.060976,-0.914634,5.670732,0.0,0.0,0.0
-0.458008,0.024902,0.917725,-0.487805,-0.304878,5.365854,0.0,0.0,0.0
-0.457031,0.023682,0.898926,-0.060976,-0.182927,4.817073,0.0,0.0,0.0
