-0.026855,-0.107178,0.975586,-4.085366,-0.853659,0.000000,0.000000.1,0.000000.2,0.000000.3
-0.029785,-0.102783,0.979492,-4.390244,-0.609756,-0.121951,0.0,0.0,0.0
-0.033691,-0.094238,0.959473,-4.45122,-0.548781,-0.609756,0.0,0.0,0.0
-0.026855,-0.113037,0.943359,-4.268293,-1.829268,-1.097561,0.0,0.0,0.0
-0.0271,-0.115967,0.937256,-3.536585,-3.780488,-1.097561,0.0,0.0,0.0
-0.030762,-0.123047,0.938232,-2.012195,-5.365854,-1.402439,0.0,0.0,0.0
-0.01416,-0.148193,0.969971,-0.853659,-6.463415,-2.378049,0.0,0.0,0.0
-0.01001,-0.148438,0.970703,-1.402439,-6.768293,-1.280488,0.0,0.0,0.0
-0.01416,-0.158936,0.984375,-2.073171,-7.134147,-0.243902,0.0,0.0,0.0
-0.003418,-0.148193,0.997803,-2.560976,-7.195122,0.304878,0.0,0.0,0.0
-0.001709,-0.14917,0.992676,-3.170732,-6.585366,0.670732,0.0,0.0,0.0
-0.002441,-0.141357,0.985107,-2.5,-6.95122,1.402439,0.0,0.0,0.0
0.008057,-0.139404,0.976807,-0.182927,-6.829268,1.341463,0.0,0.0,0.0
0.009033,-0.138184,0.978516,0.243902,-7.560976,1.219512,0.0,0.0,0.0
0.023193,-0.13501,0.971436,0.426829,-8.47561,1.341463,0.0,0.0,0.0
0.020752,-0.17627,0.973389,0.792683,-9.817074,0.97561,0.0,0.0,0.0
0.012451,-0.181152,1.006592,0.548781,-10.365854,2.560976,0.0,0.0,0.0
0.022461,-0.173584,1.011719,-0.792683,-9.939025,4.146341,0.0,0.0,0.0
0.028564,-0.177734,1.016846,-2.5,-8.841464,5.365854,0.0,0.0,0.0
0.024658,-0.161377,1.009277,-5.426829,-8.109756,6.95122,0.0,0.0,0.0
0.031982,-0.159912,1.001953,-7.987805,-8.780488,6.890244,0.0,0.0,0.0
0.026611,-0.12915,1.012695,-3.04878,-7.621952,8.04878,0.0,0.0,0.0
0.025146,-0.119385,1.01709,-1.768293,-6.52439,7.317073,0.0,0.0,0.0
0.027832,-0.12793,1.009033,-0.426829,-6.219512,6.280488,0.0,0.0,0.0
0.018555,-0.153564,0.994629,1.890244,-5.54878,6.646342,0.0,0.0,0.0
0.036621,-0.121582,0.989746,4.02439,-5.487805,7.195122,0.0,0.0,0.0
0.036865,-0.118896,0.986084,-0.670732,-6.402439,6.768293,0.0,0.0,0.0
0.030762,-0.162109,0.985352,-2.804878,-7.073171,7.073171,0.0,0.0,0.0
0.023926,-0.166504,0.974121,-1.890244,-7.317073,8.47561,0.0,0.0,0.0
0.038818,-0.127441,0.983643,-0.121951,-8.170732,9.329268,0.0,0.0,0.0
0.042725,-0.10083,1.016357,-2.804878,-9.146341,9.146341,0.0,0.0,0.0
0.036133,-0.128174,1.02002,-6.402439,-8.414635,8.353659,0.0,0.0,0.0
0.042725,-0.118652,1.022705,-6.402439,-8.414635,9.817074,0.0,0.0,0.0
0.019043,-0.095703,1.046143,-2.439024,-5.97561,8.963415,0.0,0.0,0.0
0.037598,-0.10376,1.040771,-4.634146,-4.268293,8.47561,0.0,0.0,0.0
0.023926,-0.105713,1.009277,-4.512195,-2.134146,8.536586,0.0,0.0,0.0
0.027832,-0.094238,0.973633,-2.256098,-1.768293,8.04878,0.0,0.0,0.0
0.034424,-0.096191,0.959473,-0.548781,-2.378049,7.134147,0.0,0.0,0.0
0.031738,-0.101562,0.953125,-0.609756,-4.02439,5.914634,0.0,0.0,0.0
0.028809,-0.12207,0.959717,-1.463415,-5.670732,5.609756,0.0,0.0,0.0
0.03125,-0.140381,0.9646,-0.792683,-6.52439,5.121951,0.0,0.0,0.0
0.028076,-0.165283,0.963867,0.609756,-6.707317,5.914634,0.0,0.0,0.0
0.047363,-0.138184,0.976807,1.219512,-7.134147,7.012195,0.0,0.0,0.0
0.043945,-0.144287,1.004639,-3.414634,-7.987805,7.073171,0.0,0.0,0.0
0.038818,-0.17334,1.001465,-1.829268,-6.890244,7.439024,0.0,0.0,0.0
0.037598,-0.138184,1.009766,-2.256098,-5.54878,8.292683,0.0,0.0,0.0
0.041504,-0.137695,0.997803,-2.987805,-5.182927,8.170732,0.0,0.0,0.0
0.036133,-0.14502,0.976562,-2.317073,-4.573171,8.109756,0.0,0.0,0.0
0.02832,-0.137695,0.971436,-1.95122,-5.060976,8.170732,0.0,0.0,0.0
0.032959,-0.13208,0.96582,-1.95122,-5.426829,7.804878,0.0,0.0,0.0
0.042236,-0.143555,0.97168,-1.52439,-5.792683,7.439024,0.0,0.0,0.0
0.03833,-0.147461,0.9729,-1.341463,-6.52439,7.439024,0.0,0.0,0.0
0.029785,-0.151367,0.987061,-1.402439,-6.829268,7.987805,0.0,0.0,0.0
0.031982,-0.139404,0.97168,-1.52439,-6.768293,7.926829,0.0,0.0,0.0
0.034668,-0.162354,0.951172,-9.02439,-6.768293,7.378049,0.0,0.0,0.0
0.032471,-0.175781,0.947021,-11.036586,-10.487805,9.085366,0.0,0.0,0.0
0.037354,-0.126221,0.957764,-5.609756,-10.365854,9.878049,0.0,0.0,0.0
0.03418,-0.137451,0.952881,-7.012195,-11.707317,9.02439,0.0,0.0,0.0
0.060547,-0.142578,0.912598,-11.036586,-12.317074,7.682927,0.0,0.0,0.0
0.05542,-0.140625,0.906006,-15.97561,-17.073172,9.207317,0.0,0.0,0.0
0.041016,-0.115479,0.963867,-17.743902,-19.207317,8.780488,0.0,0.0,0.0
0.050537,-0.137695,0.977295,-17.37805,-20.304878,8.963415,0.0,0.0,0.0
