0.109375,-0.077881,1.009277,0.548781,-0.975610,0.000000,0.000000.1,0.000000.2,0.000000.3
0.099609,-0.073975,1.016113,-0.853659,-0.792683,0.670732,0.0,0.0,0.0
0.107178,-0.07373,1.013184,-1.463415,-0.548781,0.731707,0.0,0.0,0.0
0.09668,-0.072998,1.015137,-2.560976,-0.243902,1.036585,0.0,0.0,0.0
0.098633,-0.060303,1.017578,-2.439024,0.304878,1.158537,0.0,0.0,0.0
0.103516,-0.058105,1.018066,-1.585366,0.853659,0.304878,0.0,0.0,0.0
0.098633,-0.058105,1.016113,-1.707317,1.280488,-0.426829,0.0,0.0,0.0
0.097656,-0.068604,1.017822,-0.97561,2.439024,-1.097561,0.0,0.0,0.0
0.090088,-0.074707,0.99585,-0.121951,3.04878,-1.768293,0.0,0.0,0.0
0.089111,-0.082275,0.978027,0.914634,2.5,-1.768293,0.0,0.0,0.0
0.087158,-0.085205,0.970703,1.158537,1.707317,-1.768293,0.0,0.0,0.0
0.091309,-0.09375,0.966553,0.731707,0.670732,-1.585366,0.0,0.0,0.0
0.093018,-0.095703,0.978271,0.0,-0.365854,-1.219512,0.0,0.0,0.0
0.086914,-0.089111,0.998291,-0.609756,-0.426829,-0.243902,0.0,0.0,0.0
0.091553,-0.085205,1.012939,-1.341463,-0.304878,0.0,0.0,0.0,0.0
0.087891,-0.085938,1.012207,-2.012195,0.914634,0.0,0.0,0.0,0.0
0.085693,-0.07251,0.999756,-1.463415,1.890244,-0.243902,0.0,0.0,0.0
0.088867,-0.067139,0.973389,-0.609756,1.646341,-1.036585,0.0,0.0,0.0
0.08374,-0.079834,0.972168,-0.670732,0.548781,-1.768293,0.0,0.0,0.0
0.080566,-0.078369,0.976562,-0.426829,-0.365854,-1.829268,0.0,0.0,0.0
0.083984,-0.090576,0.985596,-0.060976,-0.670732,-2.012195,0.0,0.0,0.0
0.081543,-0.093506,0.995361,0.060976,-1.219512,-1.585366,0.0,0.0,0.0
0.08374,-0.0896,1.008301,-0.426829,-1.219512,-1.280488,0.0,0.0,0.0
0.084473,-0.092773,1.016113,-0.97561,-0.121951,-1.158537,0.0,0.0,0.0
0.082031,-0.101074,1.007568,-1.707317,0.914634,-0.731707,0.0,0.0,0.0
0.083252,-0.095947,1.006592,-0.731707,1.707317,-0.609756,0.0,0.0,0.0
0.088623,-0.083496,0.988525,-0.731707,2.012195,-0.365854,0.0,0.0,0.0
0.084229,-0.091797,0.980469,-1.280488,1.585366,-0.365854,0.0,0.0,0.0
0.083496,-0.091553,0.972168,-0.853659,1.280488,-0.609756,0.0,0.0,0.0
0.083252,-0.091064,0.964355,-1.036585,0.365854,-0.97561,0.0,0.0,0.0
0.085205,-0.092529,0.974609,-0.304878,-0.670732,-0.97561,0.0,0.0,0.0
0.083008,-0.102051,0.986328,-0.243902,-1.646341,-0.670732,0.0,0.0,0.0
0.083252,-0.10791,1.000732,-0.365854,-1.402439,0.0,0.0,0.0,0.0
0.083008,-0.097412,0.997559,-1.036585,-0.97561,0.487805,0.0,0.0,0.0
0.087158,-0.094971,0.996338,-1.036585,-0.792683,0.365854,0.0,0.0,0.0
0.087402,-0.095215,1.002197,-0.731707,-1.463415,0.426829,0.0,0.0,0.0
0.094482,-0.099854,1.013672,-0.060976,-1.341463,0.121951,0.0,0.0,0.0
0.095947,-0.115967,1.012939,0.487805,-0.548781,0.304878,0.0,0.0,0.0
0.098389,-0.130615,1.020996,0.0,-0.182927,0.548781,0.0,0.0,0.0
0.104492,-0.146973,1.01416,-0.304878,0.365854,1.707317,0.0,0.0,0.0
0.100342,-0.138428,1.019531,-1.463415,1.097561,3.231707,0.0,0.0,0.0
0.101807,-0.128662,1.009277,-2.256098,0.914634,4.329268,0.0,0.0,0.0
0.105957,-0.131348,1.008057,-3.170732,0.792683,5.365854,0.0,0.0,0.0
0.102783,-0.114746,1.016846,-3.658537,0.792683,5.609756,0.0,0.0,0.0
0.097412,-0.112549,1.02002,-4.085366,1.219512,6.097561,0.0,0.0,0.0
0.093506,-0.130615,1.023438,-3.414634,2.073171,6.829268,0.0,0.0,0.0
0.087158,-0.128906,1.02417,-3.536585,2.926829,7.378049,0.0,0.0,0.0
0.090576,-0.131592,1.009033,-3.902439,3.536585,8.109756,0.0,0.0,0.0
0.086914,-0.141602,0.999756,-4.817073,3.841464,9.634147,0.0,0.0,0.0
0.088623,-0.12915,0.981934,-6.646342,3.963415,10.609756,0.0,0.0,0.0
0.084473,-0.120117,0.968018,-6.646342,3.170732,11.585366,0.0,0.0,0.0
0.0896,-0.125732,0.974365,-6.95122,1.829268,11.890244,0.0,0.0,0.0
