0.035889,-0.157959,0.567627,8.536586,1.707317,8.536586.1,0.000000,0.000000.1,0.000000.2
0.07373,-0.121094,0.609619,19.695122,-17.682928,12.621951,0.0,0.0,0.0
0.123047,-0.063232,0.791016,22.92683,-32.865856,17.195122,0.0,0.0,0.0
0.130127,0.078613,1.091309,13.353659,-41.341465,19.87805,0.0,0.0,0.0
0.108887,0.173096,1.318848,2.378049,-38.475609,17.743902,0.0,0.0,0.0
0.090332,0.224854,1.440186,-8.963415,-27.256098,12.256098,0.0,0.0,0.0
0.067383,0.215088,1.458252,-20.792683,-11.95122,4.45122,0.0,0.0,0.0
0.044189,0.112305,1.355713,-30.54878,2.256098,-2.926829,0.0,0.0,0.0
0.018555,0.017578,1.214355,-27.804878,12.926829,-7.134147,0.0,0.0,0.0
0.000732,-0.006592,1.060791,-16.036585,20.54878,-11.829268,0.0,0.0,0.0
-0.006104,-0.071289,0.902344,-9.634147,19.146341,-15.54878,0.0,0.0,0.0
-0.028076,-0.136475,0.810547,-2.621951,12.5,-16.95122,0.0,0.0,0.0
-0.044434,-0.168457,0.797852,-1.463415,5.54878,-16.280489,0.0,0.0,0.0
-0.052734,-0.200439,0.812744,-1.219512,-3.658537,-13.963415,0.0,0.0,0.0
-0.056885,-0.194336,0.855469,-1.95122,-10.792684,-11.585366,0.0,0.0,0.0
-0.044189,-0.174805,0.94043,-3.353659,-15.731708,-9.207317,0.0,0.0,0.0
-0.037354,-0.156494,1.033936,-3.780488,-17.865854,-7.865854,0.0,0.0,0.0
-0.031006,-0.137695,1.113525,-4.390244,-16.097561,-7.682927,0.0,0.0,0.0
-0.026367,-0.124756,1.161621,-3.780488,-11.768293,-8.536586,0.0,0.0,0.0
-0.016846,-0.128174,1.152344,-3.597561,-5.54878,-9.878049,0.0,0.0,0.0
-0.013428,-0.154541,1.127197,-3.414634,-0.914634,-10.670732,0.0,0.0,0.0
-0.010498,-0.179199,1.089844,-2.256098,3.109756,-10.792684,0.0,0.0,0.0
-0.007324,-0.211182,1.028564,-2.134146,5.54878,-10.54878,0.0,0.0,0.0
-0.01416,-0.229492,0.982178,-0.426829,5.304878,-9.207317,0.0,0.0,0.0
-0.004883,-0.233398,0.955322,0.609756,4.085366,-7.682927,0.0,0.0,0.0
0.00293,-0.233643,0.946045,0.365854,1.890244,-5.853659,0.0,0.0,0.0
-0.010254,-0.229248,0.953857,0.243902,-0.670732,-3.902439,0.0,0.0,0.0
-0.007324,-0.213379,0.9646,-0.121951,-2.560976,-2.256098,0.0,0.0,0.0
0.005371,-0.198486,0.973877,-1.158537,-3.597561,-1.158537,0.0,0.0,0.0
0.0,-0.19043,1.002197,-1.036585,-3.658537,-0.243902,0.0,0.0,0.0
0.003662,-0.176758,1.036621,0.487805,-2.865854,0.0,0.0,0.0,0.0
0.007812,-0.16626,1.052734,0.853659,-0.609756,0.487805,0.0,0.0,0.0
-0.001221,-0.147949,1.033691,0.548781,2.560976,0.914634,0.0,0.0,0.0
0.004639,-0.138184,1.000488,0.365854,4.45122,0.792683,0.0,0.0,0.0
-0.000244,-0.134766,0.956299,0.609756,4.634146,0.853659,0.0,0.0,0.0
-0.005859,-0.132324,0.929688,0.426829,3.780488,0.853659,0.0,0.0,0.0
-0.011719,-0.13208,0.915039,0.609756,1.402439,0.365854,0.0,0.0,0.0
-0.014893,-0.129639,0.91333,0.304878,-0.182927,0.365854,0.0,0.0,0.0
-0.016113,-0.131104,0.924805,0.365854,-2.804878,0.365854,0.0,0.0,0.0
-0.02002,-0.140625,0.947754,1.280488,-4.02439,1.036585,0.0,0.0,0.0
-0.017334,-0.130371,0.974609,2.256098,-4.45122,1.585366,0.0,0.0,0.0
-0.014404,-0.115479,1.006348,2.073171,-4.085366,1.890244,0.0,0.0,0.0
-0.020508,-0.111572,1.027344,0.731707,-3.292683,1.585366,0.0,0.0,0.0
-0.023438,-0.108398,1.031982,0.609756,-1.890244,0.609756,0.0,0.0,0.0
-0.008789,-0.112305,1.018066,0.731707,-0.060976,-0.304878,0.0,0.0,0.0
-0.008545,-0.114014,1.002197,-1.402439,0.853659,-0.731707,0.0,0.0,0.0
-0.020508,-0.128418,0.975586,-2.5,0.914634,-1.463415,0.0,0.0,0.0
-0.02417,-0.139893,0.965576,-1.463415,0.548781,-1.158537,0.0,0.0,0.0
-0.013184,-0.145264,0.952637,-0.731707,-0.365854,-1.280488,0.0,0.0,0.0
-0.010986,-0.141113,0.955078,-0.426829,-1.52439,-1.280488,0.0,0.0,0.0
-0.010498,-0.150879,0.960938,-0.060976,-2.621951,-1.158537,0.0,0.0,0.0
0.002197,-0.165283,0.972412,0.731707,-3.47561,-0.914634,0.0,0.0,0.0
0.006348,-0.167236,0.987549,-0.365854,-4.939024,0.121951,0.0,0.0,0.0
0.006348,-0.176025,1.005859,-0.243902,-4.45122,0.426829,0.0,0.0,0.0
0.00708,-0.162354,1.018066,-0.426829,-3.780488,1.158537,0.0,0.0,0.0
0.003662,-0.164062,1.014893,0.121951,-2.682927,1.890244,0.0,0.0,0.0
0.008057,-0.162598,1.008057,0.243902,-1.646341,2.439024,0.0,0.0,0.0
0.005371,-0.155029,0.994385,-0.060976,-1.036585,2.378049,0.0,0.0,0.0
0.005615,-0.142578,0.985596,-0.426829,-0.97561,2.682927,0.0,0.0,0.0
0.002441,-0.143799,0.97876,-0.609756,-0.914634,2.743902,0.0,0.0,0.0
0.007812,-0.144043,0.968994,-0.426829,-1.52439,2.621951,0.0,0.0,0.0
-0.000488,-0.14209,0.966553,-0.670732,-2.012195,2.926829,0.0,0.0,0.0
0.004883,-0.140625,0.968262,-0.670732,-3.04878,3.04878,0.0,0.0,0.0
0.010254,-0.138672,0.962402,-0.060976,-3.47561,3.292683,0.0,0.0,0.0
0.013428,-0.147705,0.976807,-0.182927,-4.207317,3.231707,0.0,0.0,0.0
0.003906,-0.149902,0.987793,-1.158537,-4.146341,3.47561,0.0,0.0,0.0
0.002197,-0.145752,0.988281,-0.365854,-3.658537,3.658537,0.0,0.0,0.0
0.013916,-0.139404,0.977539,0.548781,-3.719512,4.02439,0.0,0.0,0.0
0.016846,-0.152588,0.983643,0.670732,-4.146341,4.329268,0.0,0.0,0.0
0.012695,-0.162842,0.996338,1.646341,-4.085366,4.573171,0.0,0.0,0.0
0.029053,-0.126221,0.988037,2.682927,-3.963415,5.365854,0.0,0.0,0.0
0.028564,-0.108643,0.99707,-0.853659,-4.634146,5.060976,0.0,0.0,0.0
0.033447,-0.121826,1.003662,-1.829268,-5.060976,4.02439,0.0,0.0,0.0
0.027588,-0.128906,1.025146,-0.853659,-5.304878,3.658537,0.0,0.0,0.0
0.029785,-0.138428,1.040527,-0.548781,-4.085366,3.292683,0.0,0.0,0.0
0.02417,-0.143799,1.044189,0.670732,-2.621951,3.292683,0.0,0.0,0.0
0.026611,-0.144287,1.040283,0.182927,-1.036585,3.536585,0.0,0.0,0.0
0.023438,-0.149414,1.023438,0.365854,0.182927,3.841464,0.0,0.0,0.0
0.020752,-0.152588,0.993408,-0.304878,0.426829,4.573171,0.0,0.0,0.0
0.01709,-0.143799,0.979004,-0.731707,-0.182927,4.756098,0.0,0.0,0.0
0.015625,-0.132812,0.97583,-0.243902,-1.280488,4.817073,0.0,0.0,0.0
0.018555,-0.121582,0.977539,-0.243902,-2.134146,4.695122,0.0,0.0,0.0
0.020264,-0.117676,0.987305,0.487805,-2.987805,4.634146,0.0,0.0,0.0
0.020752,-0.124268,0.999268,1.768293,-3.414634,4.207317,0.0,0.0,0.0
0.020996,-0.124512,1.008545,3.109756,-2.804878,4.207317,0.0,0.0,0.0
0.031006,-0.098389,1.034668,2.256098,-2.439024,4.45122,0.0,0.0,0.0
0.027344,-0.100098,1.048096,0.731707,-1.52439,3.780488,0.0,0.0,0.0
0.030273,-0.10376,1.056885,1.52439,0.243902,4.02439,0.0,0.0,0.0
0.033447,-0.094238,1.049805,0.914634,2.195122,3.536585,0.0,0.0,0.0
0.023682,-0.104736,1.025146,0.487805,3.597561,2.865854,0.0,0.0,0.0
0.027588,-0.100342,0.993652,-0.121951,4.02439,2.256098,0.0,0.0,0.0
0.013916,-0.116211,0.972412,-0.487805,3.109756,1.829268,0.0,0.0,0.0
0.009521,-0.11792,0.955566,-0.304878,1.95122,1.890244,0.0,0.0,0.0
0.010986,-0.123291,0.952881,-0.243902,0.060976,1.707317,0.0,0.0,0.0
0.003662,-0.142578,0.956299,1.219512,-0.731707,1.463415,0.0,0.0,0.0
0.015137,-0.124023,0.97583,1.585366,-2.195122,2.256098,0.0,0.0,0.0
0.013428,-0.113037,0.987061,-0.792683,-2.682927,1.829268,0.0,0.0,0.0
0.013672,-0.126465,1.002441,-0.853659,-2.865854,1.097561,0.0,0.0,0.0
0.013672,-0.122803,1.008057,0.426829,-1.829268,1.036585,0.0,0.0,0.0
0.020508,-0.129883,0.998779,1.402439,-1.097561,0.426829,0.0,0.0,0.0
0.020752,-0.123047,0.999268,1.158537,-1.219512,-0.243902,0.0,0.0,0.0
0.019531,-0.14624,1.003418,0.487805,-0.670732,-0.609756,0.0,0.0,0.0
0.022949,-0.155029,1.002197,0.609756,-0.426829,-0.243902,0.0,0.0,0.0
0.01416,-0.156982,1.005615,0.97561,-0.243902,0.670732,0.0,0.0,0.0
0.015381,-0.159668,1.001221,-0.365854,0.548781,1.219512,0.0,0.0,0.0
0.013672,-0.158203,0.991455,-0.304878,0.182927,1.829268,0.0,0.0,0.0
0.020752,-0.154541,0.985352,-0.914634,0.060976,2.195122,0.0,0.0,0.0
0.007812,-0.158203,0.992676,-0.670732,-0.426829,2.743902,0.0,0.0,0.0
0.008057,-0.162842,0.99292,0.670732,-0.060976,3.292683,0.0,0.0,0.0
0.006104,-0.163574,0.983887,2.926829,0.487805,3.719512,0.0,0.0,0.0
0.016602,-0.129639,0.989258,1.829268,0.243902,4.695122,0.0,0.0,0.0
0.00293,-0.12793,0.990967,0.426829,0.060976,4.207317,0.0,0.0,0.0
0.007324,-0.115967,0.992432,-0.304878,0.0,3.902439,0.0,0.0,0.0
0.005371,-0.126465,0.988281,-0.487805,0.426829,3.170732,0.0,0.0,0.0
0.001953,-0.128906,0.977783,-0.548781,0.426829,2.317073,0.0,0.0,0.0
0.001465,-0.129395,0.970459,0.121951,0.487805,2.439024,0.0,0.0,0.0
0.0,-0.132812,0.955811,0.0,0.0,2.256098,0.0,0.0,0.0
0.001953,-0.133545,0.954834,-0.365854,-0.792683,2.804878,0.0,0.0,0.0
-0.004883,-0.126709,0.946533,-0.548781,-1.829268,3.109756,0.0,0.0,0.0
0.003662,-0.118408,0.948975,-1.158537,-2.317073,2.926829,0.0,0.0,0.0
0.0,-0.111816,0.944824,-1.219512,-3.109756,2.804878,0.0,0.0,0.0
0.003174,-0.119385,0.937744,-0.853659,-3.780488,2.5,0.0,0.0,0.0
0.003662,-0.124023,0.942383,-0.853659,-5.182927,2.439024,0.0,0.0,0.0
0.002686,-0.123291,0.937988,-0.731707,-6.219512,2.012195,0.0,0.0,0.0
0.00415,-0.121094,0.942627,-0.365854,-7.5,1.95122,0.0,0.0,0.0
0.007812,-0.129395,0.939941,-0.97561,-8.231708,2.073171,0.0,0.0,0.0
0.011475,-0.145264,0.944824,-0.609756,-9.512196,2.195122,0.0,0.0,0.0
0.018066,-0.155518,0.943115,0.853659,-10.731708,3.292683,0.0,0.0,0.0
0.034424,-0.130127,0.960449,0.487805,-11.95122,4.085366,0.0,0.0,0.0
0.028564,-0.136963,0.99292,-0.914634,-12.987805,3.658537,0.0,0.0,0.0
0.029785,-0.140381,1.024658,-0.426829,-12.317074,3.841464,0.0,0.0,0.0
0.04126,-0.124023,1.046875,-1.463415,-10.731708,4.329268,0.0,0.0,0.0
0.032227,-0.128662,1.033936,-2.682927,-9.146341,3.780488,0.0,0.0,0.0
0.038574,-0.135498,1.005859,-1.463415,-7.5,4.02439,0.0,0.0,0.0
0.038574,-0.123535,0.98291,-2.073171,-7.134147,3.841464,0.0,0.0,0.0
0.031006,-0.119385,0.97583,-3.04878,-8.04878,3.109756,0.0,0.0,0.0
0.041748,-0.135254,0.973145,-2.134146,-9.207317,2.926829,0.0,0.0,0.0
0.037598,-0.130127,0.984863,-1.585366,-10.182927,2.865854,0.0,0.0,0.0
0.045898,-0.15332,0.989258,-0.914634,-10.487805,2.743902,0.0,0.0,0.0
0.053223,-0.138428,1.001465,0.97561,-10.792684,3.170732,0.0,0.0,0.0
0.049072,-0.128418,1.018799,0.060976,-10.853659,3.353659,0.0,0.0,0.0
0.056641,-0.123291,1.040771,0.365854,-10.182927,3.170732,0.0,0.0,0.0
0.064941,-0.10083,1.062256,-1.52439,-8.47561,3.292683,0.0,0.0,0.0
0.055176,-0.084229,1.077148,-1.95122,-6.280488,2.560976,0.0,0.0,0.0
0.057373,-0.072021,1.074219,-1.341463,-3.04878,1.036585,0.0,0.0,0.0
0.046631,-0.068115,1.063477,-1.585366,-0.670732,0.121951,0.0,0.0,0.0
0.050293,-0.059814,1.041748,-0.304878,1.219512,-0.97561,0.0,0.0,0.0
0.041992,-0.061523,1.020996,-1.219512,2.682927,-1.829268,0.0,0.0,0.0
0.036133,-0.060547,0.981201,-1.646341,3.109756,-3.170732,0.0,0.0,0.0
0.042969,-0.070801,0.952393,-0.731707,2.439024,-3.902439,0.0,0.0,0.0
0.045166,-0.068115,0.937988,-0.853659,0.487805,-5.121951,0.0,0.0,0.0
0.053467,-0.08374,0.939209,-0.548781,-1.829268,-6.097561,0.0,0.0,0.0
0.064941,-0.093262,0.968506,0.731707,-4.207317,-6.890244,0.0,0.0,0.0
0.05957,-0.099854,1.014404,1.463415,-5.121951,-7.317073,0.0,0.0,0.0
0.067871,-0.109375,1.07373,1.158537,-4.939024,-7.195122,0.0,0.0,0.0
0.06543,-0.121338,1.102783,-0.914634,-2.073171,-7.073171,0.0,0.0,0.0
0.062744,-0.138428,1.108643,-1.890244,0.609756,-6.585366,0.0,0.0,0.0
0.058838,-0.123535,1.086182,-3.231707,3.658537,-5.914634,0.0,0.0,0.0
0.053955,-0.12915,1.066406,-2.743902,5.121951,-5.670732,0.0,0.0,0.0
0.046875,-0.11377,1.064941,-1.219512,6.219512,-4.268293,0.0,0.0,0.0
0.045654,-0.092285,1.053467,-0.792683,5.97561,-4.45122,0.0,0.0,0.0
0.052002,-0.070557,1.032959,0.914634,5.182927,-5.365854,0.0,0.0,0.0
0.060547,-0.049072,1.030518,2.5,3.719512,-6.829268,0.0,0.0,0.0
0.067871,-0.054688,1.050781,4.207317,1.402439,-9.329268,0.0,0.0,0.0
0.066406,-0.066406,1.103516,7.256098,-0.060976,-11.219512,0.0,0.0,0.0
0.073975,-0.077148,1.164307,10.243902,0.487805,-12.5,0.0,0.0,0.0
0.076416,-0.086182,1.227783,12.439025,2.926829,-13.353659,0.0,0.0,0.0
0.078125,-0.095459,1.244141,13.719513,6.890244,-13.780488,0.0,0.0,0.0
0.082031,-0.103271,1.241943,13.963415,10.182927,-13.597561,0.0,0.0,0.0
0.08374,-0.114258,1.236084,14.634147,12.682927,-13.231708,0.0,0.0,0.0
0.074951,-0.098389,1.251221,14.878049,14.390244,-12.804878,0.0,0.0,0.0
0.066406,-0.087646,1.251953,16.402439,16.829269,-12.134147,0.0,0.0,0.0
0.05957,-0.071045,1.261475,19.45122,19.817074,-12.134147,0.0,0.0,0.0
0.04834,-0.063477,1.25415,23.414635,22.621952,-12.5,0.0,0.0,0.0
0.035156,-0.05249,1.232422,26.768293,25.42683,-13.292684,0.0,0.0,0.0
0.02417,-0.055908,1.201416,34.7561,27.5,-14.085366,0.0,0.0,0.0
0.02417,-0.037842,1.164795,41.341465,28.353659,-14.268293,0.0,0.0,0.0
0.038574,-0.021973,1.115967,47.682926,26.463415,-14.390244,0.0,0.0,0.0
0.047119,-0.00293,1.095947,51.402439,21.829269,-13.658537,0.0,0.0,0.0
0.05249,0.03418,1.141846,53.170734,17.134148,-13.109756,0.0,0.0,0.0
0.048828,0.079102,1.234375,55.18293,14.695123,-13.841464,0.0,0.0,0.0
0.048584,0.12207,1.300293,54.207317,16.219513,-15.792684,0.0,0.0,0.0
0.05249,0.119873,1.318359,53.292683,19.573172,-17.804878,0.0,0.0,0.0
0.064453,0.088379,1.311279,53.109756,23.719513,-20.060976,0.0,0.0,0.0
0.05835,0.076172,1.291992,51.341465,27.012196,-20.670732,0.0,0.0,0.0
0.060059,0.052246,1.26709,48.963417,30.42683,-21.463415,0.0,0.0,0.0
0.05127,0.025391,1.241943,47.073174,33.475609,-21.707317,0.0,0.0,0.0
0.044678,-0.018555,1.205811,47.560978,35.792683,-21.524391,0.0,0.0,0.0
0.05249,-0.052734,1.183838,51.219513,37.560978,-20.42683,0.0,0.0,0.0
0.066406,-0.062012,1.181885,54.573174,38.597561,-18.536585,0.0,0.0,0.0
0.071777,-0.068359,1.187744,58.048782,40.243904,-17.134148,0.0,0.0,0.0
0.071045,-0.055908,1.231201,62.2561,42.682926,-15.731708,0.0,0.0,0.0
0.067871,-0.088379,1.297852,62.804878,47.439026,-14.756098,0.0,0.0,0.0
0.070312,-0.096924,1.351807,59.085369,56.036587,-12.073171,0.0,0.0,0.0
0.052002,-0.115967,1.351074,54.146343,67.560974,-9.45122,0.0,0.0,0.0
0.044678,-0.117432,1.281738,47.439026,79.390244,-6.097561,0.0,0.0,0.0
0.022949,-0.091064,1.197998,40.731709,88.048782,-3.47561,0.0,0.0,0.0
-0.012695,-0.077637,1.067871,34.146343,94.817078,-1.219512,0.0,0.0,0.0
-0.034668,-0.054443,0.941895,30.731709,97.68293,0.243902,0.0,0.0,0.0
-0.067871,-0.034668,0.826172,27.621952,97.012199,1.829268,0.0,0.0,0.0
-0.088867,0.013672,0.744629,27.37805,93.414635,1.768293,0.0,0.0,0.0
-0.112793,0.041504,0.69165,30.365854,87.560974,-0.060976,0.0,0.0,0.0
-0.132812,0.072021,0.679443,33.780487,81.341469,-2.743902,0.0,0.0,0.0
-0.158447,0.095703,0.67041,38.414635,74.878052,-6.95122,0.0,0.0,0.0
-0.172852,0.104736,0.674805,43.292683,69.695122,-11.280488,0.0,0.0,0.0
-0.190186,0.096436,0.692383,47.317074,64.756096,-15.182927,0.0,0.0,0.0
-0.207031,0.071777,0.717773,47.621952,60.914635,-18.170732,0.0,0.0,0.0
-0.224609,0.045166,0.72998,47.682926,58.536587,-19.756098,0.0,0.0,0.0
-0.22876,0.026123,0.726807,45.060978,56.524391,-19.207317,0.0,0.0,0.0
-0.235107,0.029541,0.734863,39.390244,54.512196,-17.560976,0.0,0.0,0.0
-0.257568,0.035156,0.716553,33.109756,53.353661,-15.731708,0.0,0.0,0.0
-0.276123,0.047607,0.670166,26.341463,52.2561,-13.658537,0.0,0.0,0.0
-0.284668,0.093994,0.619141,20.365854,49.085365,-11.829268,0.0,0.0,0.0
-0.298096,0.128906,0.569336,16.219513,44.7561,-11.036586,0.0,0.0,0.0
-0.303711,0.155762,0.553467,14.02439,39.146343,-11.585366,0.0,0.0,0.0
-0.31543,0.189941,0.538574,13.292684,33.353661,-12.743903,0.0,0.0,0.0
-0.313965,0.183105,0.557617,13.414635,26.890245,-15.426829,0.0,0.0,0.0
-0.310547,0.186523,0.547363,13.780488,23.292683,-16.890244,0.0,0.0,0.0
-0.3125,0.156982,0.585449,12.256098,19.390244,-18.109756,0.0,0.0,0.0
-0.301758,0.131348,0.605469,10.182927,16.890244,-18.414635,0.0,0.0,0.0
-0.296875,0.131348,0.623291,6.158537,15.0,-17.5,0.0,0.0,0.0
-0.30127,0.124023,0.633789,0.792683,14.02439,-16.585365,0.0,0.0,0.0
-0.308105,0.134277,0.627197,-4.085366,13.780488,-15.670732,0.0,0.0,0.0
-0.303467,0.126953,0.604004,-9.939025,13.658537,-15.426829,0.0,0.0,0.0
-0.313477,0.115967,0.556641,-15.914635,12.743903,-15.182927,0.0,0.0,0.0
-0.31665,0.095703,0.495361,-19.390244,9.634147,-15.121951,0.0,0.0,0.0
-0.321777,0.103516,0.434082,-23.597561,3.353659,-14.573171,0.0,0.0,0.0
-0.321777,0.094971,0.386475,-25.304878,-2.926829,-14.878049,0.0,0.0,0.0
-0.314697,0.091309,0.383057,-22.073172,-13.353659,-15.365854,0.0,0.0,0.0
-0.295166,0.090332,0.412598,-20.304878,-22.195122,-15.792684,0.0,0.0,0.0
-0.293701,0.056641,0.474365,-18.414635,-30.121952,-15.97561,0.0,0.0,0.0
-0.263428,0.038086,0.56958,-14.207317,-37.682926,-14.634147,0.0,0.0,0.0
-0.247314,0.036621,0.674316,-13.109756,-41.158539,-12.987805,0.0,0.0,0.0
-0.216553,0.053955,0.768311,-15.182927,-40.975609,-10.792684,0.0,0.0,0.0
-0.191895,0.077637,0.820068,-18.719513,-38.231709,-9.085366,0.0,0.0,0.0
-0.191162,0.092773,0.827148,-25.914635,-33.719513,-7.743903,0.0,0.0,0.0
-0.18335,0.128906,0.800293,-31.646341,-29.939026,-7.378049,0.0,0.0,0.0
-0.189453,0.139648,0.736084,-36.951221,-28.536587,-8.902439,0.0,0.0,0.0
-0.210449,0.11499,0.677979,-37.804878,-30.487806,-10.54878,0.0,0.0,0.0
-0.216064,0.082275,0.650635,-33.902439,-34.146343,-11.95122,0.0,0.0,0.0
