0.014160,0.358887,0.897949,0.000000,2.439024,-0.548781,0.000000.1,0.000000.2,0.000000.3
0.007812,0.38623,0.891602,-2.134146,2.073171,-1.158537,0.0,0.0,0.0
0.004883,0.354492,0.904297,-2.439024,2.073171,-2.012195,0.0,0.0,0.0
0.005859,0.36084,0.904297,-1.768293,2.804878,-1.402439,0.0,0.0,0.0
0.004883,0.368652,0.889648,-0.731707,2.560976,-1.646341,0.0,0.0,0.0
0.007324,0.377441,0.876953,-0.792683,2.195122,-2.378049,0.0,0.0,0.0
0.009277,0.370605,0.844727,-0.914634,0.97561,-2.621951,0.0,0.0,0.0
0.006348,0.369629,0.845703,0.243902,-1.768293,-2.317073,0.0,0.0,0.0
0.012207,0.370605,0.873047,1.036585,-4.329268,-1.585366,0.0,0.0,0.0
0.009277,0.385742,0.914551,1.646341,-5.670732,-1.219512,0.0,0.0,0.0
0.001953,0.390137,0.932129,1.768293,-5.792683,-1.097561,0.0,0.0,0.0
0.002441,0.391113,0.949707,1.463415,-5.121951,-1.280488,0.0,0.0,0.0
-0.004395,0.398438,0.973633,0.060976,-4.146341,-1.402439,0.0,0.0,0.0
0.000488,0.401855,0.980469,0.609756,-2.5,-1.036585,0.0,0.0,0.0
0.00293,0.45752,0.947754,-0.426829,-1.158537,-1.402439,0.0,0.0,0.0
0.007812,0.466309,0.925781,-2.682927,-2.012195,-3.109756,0.0,0.0,0.0
0.00293,0.458984,0.922852,-1.52439,-4.817073,-4.268293,0.0,0.0,0.0
-0.001465,0.474609,0.964355,1.829268,-7.682927,-4.573171,0.0,0.0,0.0
0.004395,0.501465,1.018066,5.853659,-9.390244,-4.02439,0.0,0.0,0.0
0.002441,0.546387,1.07666,8.231708,-10.609756,-4.634146,0.0,0.0,0.0
-0.002441,0.568848,1.138672,7.804878,-10.121951,-5.97561,0.0,0.0,0.0
-0.010254,0.591797,1.197754,7.012195,-8.231708,-7.317073,0.0,0.0,0.0
-0.015625,0.609375,1.238281,6.95122,-4.817073,-9.268292,0.0,0.0,0.0
-0.015625,0.629395,1.261719,7.621952,-0.182927,-12.134147,0.0,0.0,0.0
-0.020508,0.64502,1.271484,7.926829,3.414634,-15.365854,0.0,0.0,0.0
-0.021973,0.625488,1.29248,8.902439,7.378049,-18.841463,0.0,0.0,0.0
-0.024414,0.59375,1.306152,11.158537,11.158537,-21.890244,0.0,0.0,0.0
-0.017578,0.574219,1.303711,13.536586,14.573171,-23.658537,0.0,0.0,0.0
-0.015625,0.552246,1.316895,15.060976,17.37805,-26.097561,0.0,0.0,0.0
-0.027832,0.513184,1.355469,16.768293,21.036587,-27.256098,0.0,0.0,0.0
-0.02832,0.524902,1.385254,17.37805,25.060976,-28.292683,0.0,0.0,0.0
-0.029785,0.524902,1.412109,16.402439,30.487806,-30.121952,0.0,0.0,0.0
-0.041504,0.499023,1.436523,15.731708,37.317074,-33.109756,0.0,0.0,0.0
-0.045898,0.447754,1.441895,15.670732,44.695122,-35.792683,0.0,0.0,0.0
-0.060547,0.391113,1.409668,15.609756,52.560978,-38.170734,0.0,0.0,0.0
-0.060059,0.31543,1.353027,16.585365,59.817074,-39.451221,0.0,0.0,0.0
-0.067383,0.229492,1.320801,18.353659,64.512199,-39.634148,0.0,0.0,0.0
-0.077637,0.148438,1.295898,20.54878,69.573174,-37.134148,0.0,0.0,0.0
-0.075684,0.105469,1.283203,20.42683,74.024391,-33.414635,0.0,0.0,0.0
-0.08252,0.089844,1.270996,17.073172,77.743904,-30.182928,0.0,0.0,0.0
-0.099121,0.038574,1.283203,12.012196,82.195122,-25.670732,0.0,0.0,0.0
