0.144043,0.055664,0.978027,2.256098,-0.731707,0.000000,0.000000.1,0.000000.2,0.000000.3
0.145996,0.037598,0.959961,1.402439,-1.158537,-0.487805,0.0,0.0,0.0
0.154297,0.024414,0.955078,1.463415,-2.621951,-0.182927,0.0,0.0,0.0
0.150391,0.01416,0.95752,1.707317,-3.841464,0.792683,0.0,0.0,0.0
0.149414,0.019043,0.96582,2.804878,-4.695122,1.463415,0.0,0.0,0.0
0.149902,0.020996,0.981445,1.768293,-5.792683,2.012195,0.0,0.0,0.0
0.142578,0.020508,0.990234,0.0,-6.097561,2.560976,0.0,0.0,0.0
0.141113,0.020508,0.990234,-1.097561,-6.402439,2.560976,0.0,0.0,0.0
0.143555,0.02002,0.987793,-2.5,-6.646342,3.719512,0.0,0.0,0.0
0.140625,0.035645,0.98877,-2.621951,-7.195122,3.536585,0.0,0.0,0.0
0.149414,0.039062,1.007324,-2.560976,-7.560976,3.231707,0.0,0.0,0.0
0.148438,0.050293,1.022461,-2.012195,-7.439024,2.073171,0.0,0.0,0.0
0.143066,0.050293,1.036133,-1.52439,-6.768293,0.914634,0.0,0.0,0.0
0.151855,0.035645,1.044922,-0.792683,-5.121951,-0.365854,0.0,0.0,0.0
0.156738,0.019043,1.044922,0.853659,-3.109756,-1.219512,0.0,0.0,0.0
0.154297,-0.000977,1.035156,1.036585,-1.95122,-0.914634,0.0,0.0,0.0
0.158203,-0.010742,1.025391,0.548781,-0.97561,-0.243902,0.0,0.0,0.0
0.154297,-0.009277,1.01709,-0.853659,-0.731707,1.219512,0.0,0.0,0.0
0.151367,-0.019531,0.996582,-2.073171,-1.219512,2.195122,0.0,0.0,0.0
0.148438,-0.012695,0.986816,-2.317073,-1.585366,3.719512,0.0,0.0,0.0
0.140625,-0.006836,0.977051,-1.890244,-2.134146,4.45122,0.0,0.0,0.0
0.137695,-0.001465,0.983398,-1.829268,-2.743902,5.54878,0.0,0.0,0.0
0.138672,0.015137,0.993164,-0.487805,-2.5,5.670732,0.0,0.0,0.0
0.141602,0.027832,0.996094,1.463415,-1.829268,4.939024,0.0,0.0,0.0
0.143066,0.029297,1.011719,3.719512,-1.158537,3.658537,0.0,0.0,0.0
0.142578,0.017578,1.013184,4.390244,0.304878,2.682927,0.0,0.0,0.0
0.146973,0.004395,0.999512,3.353659,1.646341,2.5,0.0,0.0,0.0
0.152344,-0.012695,0.974609,1.463415,1.52439,3.841464,0.0,0.0,0.0
0.146484,-0.016113,0.964844,0.487805,0.304878,5.0,0.0,0.0,0.0
0.14209,-0.002441,0.978027,0.670732,-0.914634,6.402439,0.0,0.0,0.0
0.147461,0.021973,0.973145,0.853659,-1.280488,6.402439,0.0,0.0,0.0
0.145508,0.029785,0.983887,1.036585,-1.707317,6.219512,0.0,0.0,0.0
0.142578,0.037109,0.998535,0.487805,-2.560976,5.121951,0.0,0.0,0.0
0.149414,0.041016,1.011719,0.792683,-1.829268,4.817073,0.0,0.0,0.0
0.149902,0.041992,1.022461,1.585366,-0.97561,3.963415,0.0,0.0,0.0
0.151367,0.041504,1.016602,2.317073,-0.121951,3.170732,0.0,0.0,0.0
0.151855,0.03418,1.010742,1.829268,0.792683,2.682927,0.0,0.0,0.0
0.156738,0.029297,0.999023,0.426829,1.158537,2.378049,0.0,0.0,0.0
0.152344,0.016113,0.988281,-0.487805,0.731707,2.5,0.0,0.0,0.0
0.157715,0.016113,0.993164,-0.304878,0.365854,2.926829,0.0,0.0,0.0
0.15625,0.019043,0.98877,-0.548781,-0.060976,3.109756,0.0,0.0,0.0
0.145996,0.015625,0.989258,-0.243902,-0.487805,3.231707,0.0,0.0,0.0
0.146484,0.01416,0.993652,0.304878,-0.182927,3.597561,0.0,0.0,0.0
0.150879,0.023438,0.989258,0.97561,-0.060976,3.47561,0.0,0.0,0.0
0.15918,0.017578,0.986328,0.97561,-0.426829,3.231707,0.0,0.0,0.0
0.15625,0.001465,0.989746,1.646341,-0.670732,3.353659,0.0,0.0,0.0
0.154785,-0.000977,0.984375,2.134146,-0.182927,3.719512,0.0,0.0,0.0
