0.090332,0.187988,1.004883,-0.731707,-2.134146,-0.731707.1,0.000000,0.000000.1,0.000000.2
0.081543,0.192871,1.003906,-0.304878,-1.890244,-0.548781,0.0,0.0,0.0
0.086914,0.206543,1.015625,-0.365854,-1.890244,-0.365854,0.0,0.0,0.0
0.086426,0.195312,1.013184,-0.304878,-1.036585,-0.426829,0.0,0.0,0.0
0.081055,0.196289,0.998535,-0.487805,-0.365854,-0.426829,0.0,0.0,0.0
0.080566,0.196289,0.993652,-0.182927,-0.182927,-0.304878,0.0,0.0,0.0
0.083496,0.20752,1.007324,0.121951,-0.304878,-0.365854,0.0,0.0,0.0
0.07959,0.199219,1.009277,0.060976,0.548781,-0.731707,0.0,0.0,0.0
0.080566,0.208496,1.004883,-0.243902,1.036585,-0.731707,0.0,0.0,0.0
0.079102,0.211914,0.996582,-0.548781,1.280488,-1.646341,0.0,0.0,0.0
0.077637,0.199219,0.992676,-0.731707,1.768293,-1.402439,0.0,0.0,0.0
0.081055,0.195312,0.990723,-0.731707,1.95122,-2.012195,0.0,0.0,0.0
0.077148,0.194336,0.990723,-0.182927,1.829268,-1.768293,0.0,0.0,0.0
0.081543,0.185059,0.986816,-0.304878,2.256098,-2.073171,0.0,0.0,0.0
0.081543,0.178711,0.973633,-0.792683,2.682927,-2.073171,0.0,0.0,0.0
0.068848,0.181641,0.966797,-0.97561,2.073171,-1.52439,0.0,0.0,0.0
0.07959,0.185547,0.973145,-1.219512,1.097561,-1.52439,0.0,0.0,0.0
0.070312,0.174805,0.979492,-1.158537,0.97561,-1.890244,0.0,0.0,0.0
0.078613,0.174316,0.976562,-0.792683,1.158537,-1.646341,0.0,0.0,0.0
0.07959,0.174805,0.982422,-0.97561,0.853659,-1.280488,0.0,0.0,0.0
0.082031,0.165039,0.995605,-0.792683,0.243902,-0.426829,0.0,0.0,0.0
0.07959,0.1875,1.014648,-1.280488,0.670732,0.426829,0.0,0.0,0.0
0.069824,0.206055,1.025879,-2.987805,1.097561,1.158537,0.0,0.0,0.0
0.062012,0.222656,1.018066,-4.085366,2.256098,0.914634,0.0,0.0,0.0
0.060059,0.231445,1.007812,-4.085366,2.256098,-0.060976,0.0,0.0,0.0
0.056152,0.236328,1.00293,-3.658537,2.378049,-0.670732,0.0,0.0,0.0
0.054199,0.236328,1.013672,-2.560976,2.134146,-1.707317,0.0,0.0,0.0
0.044922,0.235352,1.032715,-1.829268,1.463415,-2.621951,0.0,0.0,0.0
0.044434,0.228027,1.066895,-1.219512,1.402439,-2.621951,0.0,0.0,0.0
0.033203,0.239746,1.105957,-1.95122,1.646341,-2.073171,0.0,0.0,0.0
0.015137,0.265625,1.137207,-2.073171,3.04878,-0.731707,0.0,0.0,0.0
0.004883,0.285645,1.15918,-0.97561,4.756098,-0.121951,0.0,0.0,0.0
-0.006348,0.32666,1.189453,-1.341463,5.853659,-0.426829,0.0,0.0,0.0
-0.017578,0.37793,1.22168,-1.707317,7.743903,-0.853659,0.0,0.0,0.0
-0.036621,0.422363,1.274414,-2.256098,10.670732,-3.597561,0.0,0.0,0.0
-0.046875,0.46875,1.315918,-2.560976,13.963415,-7.560976,0.0,0.0,0.0
-0.021484,0.564941,1.404297,-1.463415,18.597561,-13.597561,0.0,0.0,0.0
-0.055176,0.495605,1.368164,1.585366,27.073172,-22.5,0.0,0.0,0.0
-0.04834,0.494141,1.361328,8.597561,32.134148,-28.353659,0.0,0.0,0.0
-0.04834,0.488281,1.393555,11.768293,37.317074,-36.341465,0.0,0.0,0.0
-0.043945,0.417969,1.410645,12.5,42.987804,-43.292683,0.0,0.0,0.0
-0.032227,0.337891,1.414062,13.109756,49.329269,-47.865856,0.0,0.0,0.0
-0.025879,0.271484,1.400879,14.634147,54.512196,-49.7561,0.0,0.0,0.0
-0.027832,0.222168,1.408203,15.97561,59.390244,-50.792683,0.0,0.0,0.0
-0.015625,0.180176,1.407227,16.219513,64.634148,-50.853661,0.0,0.0,0.0
-0.015137,0.143555,1.391602,15.914635,69.390244,-49.817074,0.0,0.0,0.0
-0.021484,0.100098,1.386719,15.853659,73.475609,-48.536587,0.0,0.0,0.0
-0.010742,0.064941,1.393066,14.390244,77.195122,-47.378052,0.0,0.0,0.0
-0.006348,0.060059,1.382324,12.317074,82.317078,-44.939026,0.0,0.0,0.0
-0.013672,0.060059,1.361328,9.695122,86.463417,-43.353661,0.0,0.0,0.0
0.003418,0.036133,1.347168,7.134147,90.853661,-42.560978,0.0,0.0,0.0
0.005859,-0.030762,1.323242,7.134147,96.829269,-39.207317,0.0,0.0,0.0
-0.010254,-0.03125,1.284668,7.682927,102.560982,-37.439026,0.0,0.0,0.0
0.002441,-0.052734,1.246094,10.0,108.536591,-34.451221,0.0,0.0,0.0
-0.006348,-0.058105,1.202637,11.341464,112.743904,-31.219513,0.0,0.0,0.0
-0.025391,-0.04248,1.110352,11.646341,116.707321,-27.804878,0.0,0.0,0.0
-0.043457,-0.041016,1.037598,10.914635,118.231712,-24.817074,0.0,0.0,0.0
-0.072266,-0.049316,0.966797,9.146341,118.414635,-22.073172,0.0,0.0,0.0
-0.078613,-0.049316,0.915527,8.04878,117.134148,-19.45122,0.0,0.0,0.0
-0.098633,-0.063965,0.881836,7.256098,115.18293,-16.463415,0.0,0.0,0.0
