0.227051,0.147461,0.983887,-4.085366,-5.548780,0.000000,0.000000.1,0.000000.2,0.000000.3
0.23877,0.144531,0.98584,-5.121951,-5.487805,-2.012195,0.0,0.0,0.0
0.241699,0.138184,0.991699,-4.878049,-5.121951,-3.170732,0.0,0.0,0.0
0.248047,0.143066,0.999023,-4.207317,-5.243903,-3.597561,0.0,0.0,0.0
0.250977,0.154785,1.007324,-4.085366,-5.426829,-4.02439,0.0,0.0,0.0
0.24707,0.171875,1.022461,-2.5,-5.731708,-5.0,0.0,0.0,0.0
0.239746,0.199219,1.054199,-1.402439,-5.609756,-5.97561,0.0,0.0,0.0
0.229492,0.23877,1.078125,-1.52439,-5.0,-7.012195,0.0,0.0,0.0
0.214844,0.279785,1.092773,-3.292683,-4.695122,-9.02439,0.0,0.0,0.0
0.195801,0.319824,1.115723,-6.036585,-4.939024,-11.280488,0.0,0.0,0.0
0.179688,0.353516,1.138672,-9.939025,-4.634146,-14.512196,0.0,0.0,0.0
0.175293,0.369141,1.169922,-10.97561,-3.353659,-18.780489,0.0,0.0,0.0
0.175781,0.370605,1.202637,-11.52439,-1.52439,-23.170732,0.0,0.0,0.0
0.167969,0.365723,1.233887,-11.463415,1.280488,-27.804878,0.0,0.0,0.0
0.179688,0.363281,1.270996,-8.719512,4.756098,-32.378048,0.0,0.0,0.0
0.180176,0.351074,1.303223,-5.487805,8.597561,-36.280487,0.0,0.0,0.0
0.175781,0.35498,1.364258,-0.121951,12.560976,-40.365856,0.0,0.0,0.0
0.181152,0.333984,1.416504,2.195122,19.390244,-45.731709,0.0,0.0,0.0
0.183105,0.310059,1.472168,3.597561,26.097561,-49.451221,0.0,0.0,0.0
0.184082,0.287598,1.478027,0.0,33.048782,-52.5,0.0,0.0,0.0
0.196777,0.265625,1.442871,-4.695122,39.878048,-55.243904,0.0,0.0,0.0
0.206543,0.20459,1.45166,-5.609756,44.207317,-58.475613,0.0,0.0,0.0
0.212402,0.150879,1.456055,-6.341464,49.390244,-60.548782,0.0,0.0,0.0
0.22998,0.088867,1.455078,-5.670732,55.304878,-61.158539,0.0,0.0,0.0
0.22998,0.04541,1.433105,-5.853659,59.939026,-60.487804,0.0,0.0,0.0
0.25293,0.021973,1.461426,-3.963415,64.573174,-59.7561,0.0,0.0,0.0
0.22998,-0.01123,1.545898,-2.926829,75.18293,-63.597561,0.0,0.0,0.0
0.251465,-0.148926,1.429688,0.792683,86.890244,-59.268295,0.0,0.0,0.0
0.257324,-0.168457,1.367676,5.182927,90.792686,-54.939026,0.0,0.0,0.0
0.256348,-0.17627,1.344727,4.939024,93.475609,-49.573174,0.0,0.0,0.0
0.256836,-0.20752,1.342773,2.012195,96.524391,-46.219513,0.0,0.0,0.0
0.240723,-0.245117,1.30127,-1.097561,101.036591,-42.439026,0.0,0.0,0.0
0.234375,-0.288086,1.246582,-1.585366,105.18293,-36.524391,0.0,0.0,0.0
0.235352,-0.298828,1.211426,-0.243902,108.841469,-30.853659,0.0,0.0,0.0
0.208984,-0.296387,1.159668,0.548781,111.402443,-26.402439,0.0,0.0,0.0
0.184082,-0.290527,1.123047,-0.243902,113.780487,-21.829269,0.0,0.0,0.0
0.164551,-0.303223,1.076172,-2.439024,115.853661,-18.597561,0.0,0.0,0.0
0.151855,-0.331543,1.050781,-2.682927,117.743904,-16.219513,0.0,0.0,0.0
0.15332,-0.367188,1.00293,-0.853659,119.756104,-11.890244,0.0,0.0,0.0
0.147461,-0.383789,0.962891,5.609756,122.86586,-7.256098,0.0,0.0,0.0
0.144043,-0.394043,0.916504,8.353659,125.0,-1.280488,0.0,0.0,0.0
0.127441,-0.394043,0.861816,11.341464,126.036591,4.817073,0.0,0.0,0.0
0.100098,-0.375,0.79541,11.890244,125.914635,11.097561,0.0,0.0,0.0
0.073242,-0.344238,0.714844,10.487805,123.475609,17.865854,0.0,0.0,0.0
0.028809,-0.3125,0.664062,5.54878,124.573174,23.597561,0.0,0.0,0.0
-0.009766,-0.26416,0.614258,9.695122,108.414635,30.121952,0.0,0.0,0.0
-0.040527,-0.206055,0.615723,8.658537,100.426834,34.024391,0.0,0.0,0.0
-0.063477,-0.175781,0.595215,6.707317,94.085365,36.890244,0.0,0.0,0.0
-0.09375,-0.143555,0.57666,2.012195,88.475609,39.146343,0.0,0.0,0.0
-0.115234,-0.135254,0.560059,2.682927,85.060974,40.365856,0.0,0.0,0.0
-0.137695,-0.115234,0.555176,3.414634,80.670731,41.341465,0.0,0.0,0.0
-0.15625,-0.124023,0.529785,5.97561,77.134148,42.439026,0.0,0.0,0.0
-0.17334,-0.118164,0.504883,7.682927,73.170731,44.268295,0.0,0.0,0.0
-0.175781,-0.095703,0.480469,6.52439,70.426834,47.134148,0.0,0.0,0.0
-0.181641,-0.061523,0.442871,1.219512,63.780491,50.121952,0.0,0.0,0.0
-0.197266,-0.048828,0.421875,-0.609756,53.963417,52.317074,0.0,0.0,0.0
-0.190918,-0.061523,0.408691,-4.878049,45.304878,55.548782,0.0,0.0,0.0
-0.195801,-0.032715,0.354004,-11.52439,35.182926,60.853661,0.0,0.0,0.0
-0.209961,-0.00293,0.327148,-14.878049,24.939026,64.451218,0.0,0.0,0.0
-0.206055,0.026367,0.326172,-15.121951,15.365854,65.975609,0.0,0.0,0.0
-0.195801,0.052734,0.34082,-13.353659,7.073171,67.865852,0.0,0.0,0.0
-0.197754,0.121582,0.353027,-10.182927,-0.121951,67.865852,0.0,0.0,0.0
-0.185059,0.151367,0.359863,-4.512195,-8.780488,65.853661,0.0,0.0,0.0
-0.173828,0.17627,0.395996,1.829268,-15.97561,63.902439,0.0,0.0,0.0
-0.168945,0.208984,0.438965,5.97561,-22.865854,62.560978,0.0,0.0,0.0
-0.177734,0.236328,0.486328,7.743903,-30.060976,60.365856,0.0,0.0,0.0
-0.17627,0.266113,0.515137,4.573171,-35.121952,58.231709,0.0,0.0,0.0
-0.166016,0.263672,0.542969,0.243902,-40.42683,55.731709,0.0,0.0,0.0
-0.163086,0.266113,0.599121,-0.121951,-45.121952,53.170734,0.0,0.0,0.0
-0.149902,0.259766,0.634766,-0.853659,-47.012196,51.341465,0.0,0.0,0.0
-0.134277,0.253418,0.657227,-1.585366,-47.317074,49.878052,0.0,0.0,0.0
-0.121094,0.266602,0.658691,-1.646341,-47.195122,48.353661,0.0,0.0,0.0
-0.115723,0.272461,0.630859,-1.280488,-48.719513,47.195122,0.0,0.0,0.0
-0.101074,0.269531,0.620117,1.097561,-52.92683,45.731709,0.0,0.0,0.0
-0.094238,0.260254,0.640137,5.731708,-58.048782,45.548782,0.0,0.0,0.0
-0.086426,0.278809,0.685547,12.5,-62.378052,46.097561,0.0,0.0,0.0
-0.07959,0.329102,0.722168,14.695123,-67.195122,46.951221,0.0,0.0,0.0
-0.091309,0.356445,0.769531,10.97561,-72.68293,47.134148,0.0,0.0,0.0
-0.085938,0.376465,0.820312,8.170732,-77.317078,45.609756,0.0,0.0,0.0
-0.081543,0.38623,0.841797,3.963415,-82.134148,43.475613,0.0,0.0,0.0
-0.070312,0.40332,0.890625,2.743902,-84.268295,40.914635,0.0,0.0,0.0
-0.050781,0.414062,0.92334,-1.829268,-81.768295,37.804878,0.0,0.0,0.0
-0.02832,0.415039,0.933105,-5.426829,-82.439026,34.512196,0.0,0.0,0.0
-0.014648,0.429688,0.956055,-4.268293,-83.048782,30.853659,0.0,0.0,0.0
0.013184,0.426758,0.988281,-6.463415,-82.621956,26.097561,0.0,0.0,0.0
0.035645,0.38623,0.998047,-9.02439,-81.951218,21.890244,0.0,0.0,0.0
0.055176,0.352051,0.98877,-10.731708,-81.951218,19.512196,0.0,0.0,0.0
0.078125,0.312012,0.980957,-11.036586,-81.036591,18.292683,0.0,0.0,0.0
0.089844,0.291016,1.012207,-6.463415,-82.073174,17.987804,0.0,0.0,0.0
0.115723,0.29834,1.073242,-4.390244,-81.768295,18.841463,0.0,0.0,0.0
0.123535,0.308105,1.078613,-7.439024,-80.731712,19.146341,0.0,0.0,0.0
0.124512,0.317871,1.094238,-9.085366,-80.426834,20.060976,0.0,0.0,0.0
0.126953,0.350098,1.104004,-12.621951,-78.170731,20.0,0.0,0.0,0.0
0.119141,0.376953,1.11377,-16.890244,-76.158539,18.475611,0.0,0.0,0.0
0.103027,0.376465,1.110352,-19.207317,-73.231712,15.060976,0.0,0.0,0.0
0.105469,0.383789,1.116699,-18.719513,-69.878052,11.219512,0.0,0.0,0.0
0.105957,0.379395,1.11084,-15.54878,-67.256096,7.378049,0.0,0.0,0.0
0.11377,0.379395,1.092285,-11.402439,-64.451218,3.109756,0.0,0.0,0.0
0.115234,0.373535,1.095703,-8.231708,-62.804878,-0.121951,0.0,0.0,0.0
0.125977,0.374512,1.095215,-5.97561,-61.585369,-3.658537,0.0,0.0,0.0
0.136719,0.352051,1.104004,-6.52439,-61.036587,-6.402439,0.0,0.0,0.0
0.137207,0.326172,1.112793,-7.926829,-60.609756,-7.256098,0.0,0.0,0.0
0.138672,0.32373,1.121582,-10.0,-60.975613,-7.560976,0.0,0.0,0.0
0.149902,0.314941,1.13623,-13.292684,-61.158539,-8.170732,0.0,0.0,0.0
0.154297,0.305176,1.157227,-16.768293,-61.219513,-8.963415,0.0,0.0,0.0
0.154297,0.297363,1.181152,-18.109756,-60.0,-9.878049,0.0,0.0,0.0
0.165039,0.293945,1.194336,-18.475611,-57.073174,-11.707317,0.0,0.0,0.0
0.174316,0.291992,1.188477,-17.804878,-53.475613,-14.207317,0.0,0.0,0.0
0.188965,0.283203,1.195801,-15.853659,-50.060978,-17.256098,0.0,0.0,0.0
0.195312,0.277344,1.197754,-14.085366,-46.036587,-20.365854,0.0,0.0,0.0
0.19873,0.260742,1.188477,-14.695123,-42.134148,-22.987806,0.0,0.0,0.0
0.19043,0.248047,1.16748,-15.792684,-39.7561,-25.243902,0.0,0.0,0.0
0.203613,0.219238,1.140137,-16.646341,-36.890244,-27.134148,0.0,0.0,0.0
0.20166,0.191895,1.124023,-18.231709,-36.158539,-27.317074,0.0,0.0,0.0
0.197266,0.173828,1.114258,-17.92683,-36.219513,-26.646341,0.0,0.0,0.0
0.193848,0.181152,1.118652,-17.865854,-36.463417,-25.975611,0.0,0.0,0.0
0.195312,0.173828,1.142578,-18.292683,-36.463417,-26.524391,0.0,0.0,0.0
0.193848,0.171387,1.166504,-16.768293,-34.146343,-27.682928,0.0,0.0,0.0
0.192383,0.163574,1.182617,-14.878049,-30.365854,-29.024391,0.0,0.0,0.0
0.20166,0.158691,1.178223,-13.04878,-25.792683,-30.54878,0.0,0.0,0.0
0.202637,0.131836,1.165527,-10.243902,-21.036587,-33.231709,0.0,0.0,0.0
0.204102,0.103027,1.142578,-8.902439,-17.5,-34.695122,0.0,0.0,0.0
0.203613,0.068848,1.127441,-9.268292,-15.0,-34.817074,0.0,0.0,0.0
0.206055,0.055176,1.109375,-9.146341,-13.536586,-33.780487,0.0,0.0,0.0
0.207031,0.033203,1.106934,-8.902439,-12.804878,-32.439026,0.0,0.0,0.0
0.208984,0.011719,1.10498,-8.536586,-11.768293,-30.975611,0.0,0.0,0.0
0.207031,0.002441,1.095703,-9.02439,-10.121951,-29.573172,0.0,0.0,0.0
0.206543,-0.016602,1.087402,-9.268292,-8.536586,-28.231709,0.0,0.0,0.0
0.220703,-0.036621,1.081055,-10.426829,-7.682927,-26.707317,0.0,0.0,0.0
0.228516,-0.058594,1.064941,-12.743903,-6.463415,-24.024391,0.0,0.0,0.0
0.242676,-0.068848,1.051758,-11.463415,-5.0,-20.975611,0.0,0.0,0.0
0.244141,-0.077637,1.049316,-9.45122,-4.085366,-18.780489,0.0,0.0,0.0
0.240234,-0.083008,1.039062,-7.378049,-2.987805,-15.97561,0.0,0.0,0.0
0.245605,-0.07959,1.039551,-5.060976,-1.280488,-13.353659,0.0,0.0,0.0
0.250977,-0.068848,1.03418,-2.682927,0.121951,-10.914635,0.0,0.0,0.0
0.244629,-0.053223,1.030273,-2.012195,1.280488,-8.963415,0.0,0.0,0.0
0.247559,-0.038574,1.019531,-2.621951,2.5,-7.012195,0.0,0.0,0.0
0.249023,-0.027344,1.001465,-4.756098,2.926829,-5.487805,0.0,0.0,0.0
0.24707,-0.024902,0.99707,-6.829268,3.109756,-4.085366,0.0,0.0,0.0
0.241211,-0.023926,0.977051,-7.987805,3.841464,-2.378049,0.0,0.0,0.0
0.247559,-0.029297,0.956055,-8.414635,4.390244,-0.97561,0.0,0.0,0.0
0.250488,-0.024902,0.947266,-7.317073,4.939024,0.365854,0.0,0.0,0.0
0.245117,-0.006836,0.933105,-5.731708,4.45122,2.865854,0.0,0.0,0.0
0.241699,0.013672,0.936523,-5.670732,3.597561,4.329268,0.0,0.0,0.0
0.234375,0.032715,0.92334,-6.036585,3.414634,5.243903,0.0,0.0,0.0
0.237793,0.037598,0.921875,-5.853659,2.865854,5.670732,0.0,0.0,0.0
0.23584,0.068359,0.928223,-4.207317,2.256098,6.707317,0.0,0.0,0.0
0.225098,0.10791,0.910156,-5.853659,1.646341,6.890244,0.0,0.0,0.0
0.221191,0.124512,0.919922,-5.487805,-0.365854,5.853659,0.0,0.0,0.0
0.219727,0.135742,0.936035,-6.768293,-1.463415,4.146341,0.0,0.0,0.0
0.221191,0.126953,0.937012,-8.04878,-0.97561,3.170732,0.0,0.0,0.0
0.226074,0.123047,0.92334,-8.109756,-1.097561,2.5,0.0,0.0,0.0
0.231934,0.124512,0.921875,-6.707317,-2.012195,2.560976,0.0,0.0,0.0
0.231934,0.132812,0.92334,-4.695122,-3.04878,2.621951,0.0,0.0,0.0
0.230469,0.138184,0.939453,-3.902439,-4.085366,1.829268,0.0,0.0,0.0
0.244141,0.157715,0.943359,-3.231707,-4.817073,1.158537,0.0,0.0,0.0
0.243652,0.16748,0.958008,-3.719512,-5.670732,0.670732,0.0,0.0,0.0
0.244141,0.17627,0.975586,-5.487805,-6.646342,-0.853659,0.0,0.0,0.0
0.244141,0.17334,0.992676,-6.158537,-6.95122,-2.378049,0.0,0.0,0.0
0.258301,0.168945,1.005371,-5.97561,-6.158537,-3.231707,0.0,0.0,0.0
0.259277,0.162109,1.015625,-5.426829,-5.304878,-3.597561,0.0,0.0,0.0
0.258789,0.169434,1.022461,-4.390244,-4.573171,-3.963415,0.0,0.0,0.0
0.258789,0.181641,1.016602,-4.817073,-4.085366,-4.390244,0.0,0.0,0.0
0.262207,0.183105,1.02002,-4.573171,-3.414634,-5.365854,0.0,0.0,0.0
0.263672,0.19043,1.024902,-4.207317,-3.536585,-6.646342,0.0,0.0,0.0
0.253906,0.199219,1.034668,-3.170732,-2.317073,-8.109756,0.0,0.0,0.0
0.251953,0.194336,1.033203,-1.890244,-0.97561,-10.304878,0.0,0.0,0.0
0.246094,0.194336,1.03418,-0.792683,0.0,-11.707317,0.0,0.0,0.0
0.250488,0.197266,1.036133,-0.060976,0.914634,-12.378049,0.0,0.0,0.0
0.240723,0.197266,1.03125,-0.97561,1.402439,-13.231708,0.0,0.0,0.0
0.244629,0.20459,1.035156,-1.829268,1.890244,-14.512196,0.0,0.0,0.0
0.246094,0.209961,1.039062,-2.439024,2.317073,-15.243903,0.0,0.0,0.0
0.246094,0.207031,1.037598,-1.707317,2.865854,-15.792684,0.0,0.0,0.0
0.242676,0.237305,1.056152,0.609756,2.621951,-15.731708,0.0,0.0,0.0
0.235352,0.266113,1.083496,3.109756,2.865854,-16.158537,0.0,0.0,0.0
0.229492,0.310547,1.111328,3.841464,3.231707,-17.134148,0.0,0.0,0.0
0.215332,0.359863,1.143555,2.926829,4.45122,-19.756098,0.0,0.0,0.0
0.203613,0.388184,1.162598,0.182927,6.463415,-23.719513,0.0,0.0,0.0
0.19873,0.390137,1.170898,-2.012195,9.390244,-28.841465,0.0,0.0,0.0
0.201172,0.366699,1.175781,-3.231707,12.987805,-34.451221,0.0,0.0,0.0
0.207031,0.338379,1.160645,-2.621951,17.621952,-39.390244,0.0,0.0,0.0
0.214844,0.30957,1.140137,-0.548781,20.365854,-42.195122,0.0,0.0,0.0
0.215332,0.300293,1.126953,0.487805,21.829269,-44.146343,0.0,0.0,0.0
0.214355,0.290039,1.134277,0.243902,22.195122,-45.731709,0.0,0.0,0.0
0.211426,0.269043,1.154297,-1.341463,22.621952,-47.743904,0.0,0.0,0.0
0.212402,0.237793,1.175781,-3.414634,24.573172,-49.878052,0.0,0.0,0.0
0.204102,0.207031,1.184082,-3.170732,27.37805,-51.829269,0.0,0.0,0.0
0.206543,0.170898,1.196777,-2.378049,30.182928,-53.536587,0.0,0.0,0.0
0.212402,0.132812,1.206543,-1.097561,33.414635,-55.121952,0.0,0.0,0.0
0.206543,0.09082,1.191406,1.036585,37.195122,-55.731709,0.0,0.0,0.0
0.187988,0.166504,1.241211,4.573171,39.390244,-56.829269,0.0,0.0,0.0
0.209961,-0.040039,1.210449,9.207317,46.402439,-58.414635,0.0,0.0,0.0
0.212891,-0.083984,1.177734,14.268293,47.682926,-53.780491,0.0,0.0,0.0
0.206543,-0.07373,1.18457,16.524391,47.317074,-46.646343,0.0,0.0,0.0
0.197754,-0.057129,1.217773,16.036585,46.524391,-42.317074,0.0,0.0,0.0
0.196289,-0.056152,1.293945,15.121951,47.560978,-40.0,0.0,0.0,0.0
0.198242,-0.083496,1.339355,10.304878,52.073174,-36.707317,0.0,0.0,0.0
0.185547,-0.091797,1.331055,6.158537,59.024391,-33.414635,0.0,0.0,0.0
0.182617,-0.078613,1.293945,4.878049,65.670731,-30.060976,0.0,0.0,0.0
0.179688,-0.084961,1.269043,6.097561,70.853661,-28.414635,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
