0.167969,0.148438,0.964844,-1.890244,0.000000,-2.317073,0.000000.1,0.000000.2,0.000000.3
0.171875,0.14209,0.958008,-1.158537,-1.219512,-2.378049,0.0,0.0,0.0
0.171875,0.137695,0.964355,-0.914634,-1.463415,-2.012195,0.0,0.0,0.0
0.167969,0.136719,0.972656,-0.97561,-2.256098,-1.585366,0.0,0.0,0.0
0.176758,0.147949,0.981445,-0.914634,-2.134146,-0.97561,0.0,0.0,0.0
0.178711,0.152832,0.987305,-1.829268,-2.317073,-1.219512,0.0,0.0,0.0
0.17334,0.157715,0.994141,-3.719512,-2.5,-1.158537,0.0,0.0,0.0
0.182129,0.164551,0.995117,-7.012195,-2.865854,-1.097561,0.0,0.0,0.0
0.178711,0.17041,1.0,-9.146341,-2.926829,-1.463415,0.0,0.0,0.0
0.181152,0.173828,0.996582,-10.426829,-2.439024,-1.219512,0.0,0.0,0.0
0.173828,0.191895,0.997559,-7.926829,-1.768293,-1.95122,0.0,0.0,0.0
0.179688,0.202148,0.987793,-7.134147,-1.036585,-3.47561,0.0,0.0,0.0
0.176758,0.208984,0.981445,-4.878049,-1.280488,-4.512195,0.0,0.0,0.0
0.177734,0.212402,0.989258,-1.585366,-1.158537,-5.792683,0.0,0.0,0.0
0.178711,0.211914,0.999023,-2.926829,-1.341463,-6.890244,0.0,0.0,0.0
0.179688,0.229492,0.995605,-5.426829,-1.52439,-7.682927,0.0,0.0,0.0
0.173828,0.220215,1.006836,-4.817073,-1.219512,-10.121951,0.0,0.0,0.0
0.188477,0.198242,1.007324,-6.402439,-0.731707,-11.341464,0.0,0.0,0.0
0.191895,0.188965,0.999023,-7.682927,-0.426829,-12.439025,0.0,0.0,0.0
0.199707,0.187988,0.991211,-5.0,0.365854,-13.658537,0.0,0.0,0.0
0.203613,0.172363,0.991211,-2.804878,0.853659,-15.060976,0.0,0.0,0.0
0.204102,0.154785,0.98584,-2.865854,1.097561,-14.817074,0.0,0.0,0.0
0.203125,0.164551,0.994141,0.304878,1.707317,-15.487805,0.0,0.0,0.0
0.202637,0.171875,0.993164,2.378049,2.134146,-15.487805,0.0,0.0,0.0
0.191895,0.185059,0.989746,2.134146,2.682927,-16.219513,0.0,0.0,0.0
0.192871,0.183594,0.987793,2.743902,2.621951,-17.012196,0.0,0.0,0.0
0.195312,0.182617,0.972168,2.073171,2.682927,-18.109756,0.0,0.0,0.0
0.185547,0.175781,0.961426,3.47561,2.317073,-19.573172,0.0,0.0,0.0
0.188477,0.17041,0.964355,4.634146,1.707317,-19.939024,0.0,0.0,0.0
0.193359,0.162598,0.956055,5.487805,1.219512,-21.036587,0.0,0.0,0.0
0.20166,0.153809,0.94873,5.97561,0.304878,-21.768293,0.0,0.0,0.0
0.210938,0.146484,0.961426,7.5,-0.731707,-22.439024,0.0,0.0,0.0
0.212891,0.133789,0.983887,8.902439,-1.52439,-22.987806,0.0,0.0,0.0
0.212402,0.127441,0.989258,8.597561,-1.341463,-23.04878,0.0,0.0,0.0
0.214844,0.130371,0.999023,7.621952,-0.853659,-22.865854,0.0,0.0,0.0
0.212402,0.128906,1.004395,5.853659,-0.426829,-22.804878,0.0,0.0,0.0
0.216797,0.126953,0.99707,3.902439,0.182927,-22.439024,0.0,0.0,0.0
0.210449,0.125488,0.986816,2.073171,0.487805,-22.682928,0.0,0.0,0.0
0.200195,0.127441,0.987793,1.52439,1.036585,-22.439024,0.0,0.0,0.0
