2.000000,2.000000.1,4.367920,3973.841553,3706.524414,3817.561035,0.000000,0.000000.1,0.000000.2
2.0,2.0,4.436035,3970.792725,3698.231689,3819.817139,0.0,0.0,0.0
2.0,2.0,4.517578,3968.841553,3692.134277,3825.12207,0.0,0.0,0.0
2.0,2.0,4.632324,3964.024414,3687.927002,3830.731689,0.0,0.0,0.0
2.0,2.0,4.629639,3963.414795,3687.012207,3835.914795,0.0,0.0,0.0
2.0,2.0,4.69165,3967.927002,3685.914795,3842.62207,0.0,0.0,0.0
2.0,2.0,4.727783,3978.35376,3686.585449,3848.841553,0.0,0.0,0.0
2.0,2.0,4.769043,3984.878174,3686.341553,3849.695312,0.0,0.0,0.0
2.0,2.0,4.864746,3992.743896,3684.756104,3845.183105,0.0,0.0,0.0
2.0,2.0,4.921631,5.060976,3685.12207,3834.756104,0.0,0.0,0.0
2.0,2.0,4.945801,12.317074,3687.012207,3824.756104,0.0,0.0,0.0
2.0,2.0,4.895264,20.42683,3685.609863,3816.70752,0.0,0.0,0.0
2.0,2.0,4.780762,44.7561,3674.268311,3807.317139,0.0,0.0,0.0
2.0,2.0,4.885742,59.634148,3660.670898,3811.341553,0.0,0.0,0.0
2.0,2.0,1.081787,39.695122,3663.109863,3820.365967,0.0,0.0,0.0
2.0,2.0,1.131104,13.04878,3674.695312,3832.5,0.0,0.0,0.0
2.0,2.0,1.14209,11.829268,3688.231689,3846.219482,0.0,0.0,0.0
2.0,2.0,1.146729,15.609756,3698.658691,3852.073242,0.0,0.0,0.0
2.0,2.0,1.087646,13.536586,3708.35376,3849.939209,0.0,0.0,0.0
2.0,2.0,4.992676,8.719512,3714.756104,3845.487793,0.0,0.0,0.0
2.0,2.0,4.935303,5.670732,3716.768311,3842.195312,0.0,0.0,0.0
2.0,2.0,4.902344,3.353659,3716.768311,3840.487793,0.0,0.0,0.0
2.0,2.0,4.869385,3994.573242,3715.609863,3838.475586,0.0,0.0,0.0
2.0,2.0,4.868164,3994.146484,3713.902588,3837.378174,0.0,0.0,0.0
2.0,2.0,4.86377,0.121951,3712.561035,3836.70752,0.0,0.0,0.0
2.0,2.0,4.854492,3.47561,3712.073242,3839.146484,0.0,0.0,0.0
2.0,2.0,4.853516,6.95122,3711.524414,3842.195312,0.0,0.0,0.0
2.0,2.0,4.871826,6.95122,3711.463379,3845.914795,0.0,0.0,0.0
2.0,2.0,4.902588,3.963415,3711.646484,3847.439209,0.0,0.0,0.0
2.0,2.0,4.91626,0.487805,3713.35376,3846.585449,0.0,0.0,0.0
2.0,2.0,4.894531,3991.524414,3714.817139,3843.841553,0.0,0.0,0.0
2.0,2.0,4.865234,3988.902588,3715.487793,3839.878174,0.0,0.0,0.0
2.0,2.0,4.849854,3989.939209,3714.695312,3837.378174,0.0,0.0,0.0
2.0,2.0,4.85498,3989.268311,3714.268311,3837.134277,0.0,0.0,0.0
2.0,2.0,4.85083,3989.695312,3715.0,3837.987793,0.0,0.0,0.0
2.0,2.0,4.828857,3991.219727,3714.817139,3839.756104,0.0,0.0,0.0
2.0,2.0,4.811768,3991.097656,3713.231689,3841.219482,0.0,0.0,0.0
2.0,2.0,4.797119,3988.231689,3711.70752,3840.670898,0.0,0.0,0.0
2.0,2.0,4.790771,3987.073242,3710.304932,3840.061035,0.0,0.0,0.0
2.0,2.0,4.789062,3988.048828,3709.329346,3840.427002,0.0,0.0,0.0
2.0,2.0,4.795166,3988.719727,3708.841553,3842.317139,0.0,0.0,0.0
2.0,2.0,4.806885,3990.975586,3708.170898,3844.329346,0.0,0.0,0.0
2.0,2.0,4.829102,3990.731689,3708.963379,3846.70752,0.0,0.0,0.0
2.0,2.0,4.824463,3990.670898,3709.329346,3847.5,0.0,0.0,0.0
2.0,2.0,4.807861,3988.597656,3709.390381,3846.097656,0.0,0.0,0.0
2.0,2.0,4.807129,3984.878174,3708.536621,3842.927002,0.0,0.0,0.0
2.0,2.0,4.851318,3981.890381,3707.317139,3839.20752,0.0,0.0,0.0
2.0,2.0,4.896729,3980.304932,3707.195312,3837.195312,0.0,0.0,0.0
2.0,2.0,4.94043,3982.012207,3709.817139,3837.317139,0.0,0.0,0.0
2.0,2.0,4.928467,3985.12207,3715.85376,3838.902588,0.0,0.0,0.0
2.0,2.0,4.858398,3987.804932,3719.878174,3840.731689,0.0,0.0,0.0
2.0,2.0,4.836182,3986.463623,3719.512207,3840.85376,0.0,0.0,0.0
2.0,2.0,4.837891,3980.061035,3718.170898,3839.451416,0.0,0.0,0.0
2.0,2.0,4.834229,3977.5,3717.073242,3836.890381,0.0,0.0,0.0
2.0,2.0,4.865234,3974.695312,3716.524414,3835.243896,0.0,0.0,0.0
2.0,2.0,4.876465,3968.719727,3718.35376,3834.817139,0.0,0.0,0.0
2.0,2.0,4.854492,3963.475586,3719.451416,3835.12207,0.0,0.0,0.0
2.0,2.0,4.847656,3951.097656,3718.841553,3836.341553,0.0,0.0,0.0
2.0,2.0,4.845703,3941.951416,3719.451416,3838.475586,0.0,0.0,0.0
2.0,2.0,4.819092,3932.683105,3719.939209,3840.975586,0.0,0.0,0.0
2.0,2.0,4.786133,3919.146484,3717.683105,3844.146484,0.0,0.0,0.0
2.0,2.0,4.792236,3892.439209,3711.951416,3846.158691,0.0,0.0,0.0
2.0,2.0,4.816406,3859.085449,3703.597656,3847.561035,0.0,0.0,0.0
2.0,2.0,4.827637,3837.561035,3697.927002,3852.195312,0.0,0.0,0.0
2.0,2.0,4.840332,3832.134277,3697.073242,3864.512207,0.0,0.0,0.0
2.0,2.0,4.80957,3835.792725,3696.646484,3880.243896,0.0,0.0,0.0
2.0,2.0,4.7771,3847.073242,3692.195312,3894.20752,0.0,0.0,0.0
2.0,2.0,4.848633,3860.427002,3683.963379,3902.927002,0.0,0.0,0.0
2.0,2.0,4.968506,3869.573242,3677.378174,3907.683105,0.0,0.0,0.0
2.0,2.0,1.082275,3863.841553,3671.70752,3898.35376,0.0,0.0,0.0
2.0,2.0,1.215088,3876.585449,3667.012207,3895.365967,0.0,0.0,0.0
2.0,2.0,1.382568,3894.756104,3675.609863,3899.268311,0.0,0.0,0.0
2.0,2.0,1.414551,3903.780518,3683.475586,3897.134277,0.0,0.0,0.0
2.0,2.0,1.445801,3917.439209,3695.731689,3887.683105,0.0,0.0,0.0
2.0,2.0,1.42749,3926.219482,3707.743896,3879.085449,0.0,0.0,0.0
2.0,2.0,1.388672,3929.390381,3719.390381,3871.036621,0.0,0.0,0.0
