-1.611329999999999985e-01,2.915039999999999853e-01,9.750980000000000203e-01,0.000000000000000000e+00,2.439020000000000077e-01,-1.158536999999999928e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
-0.164551,0.28418,0.965332,0.609756,1.036585,-0.487805,0.0,0.0,0.0
-0.16748,0.294434,0.937988,0.182927,1.402439,-0.060976,0.0,0.0,0.0
-0.162109,0.29834,0.930664,-0.548781,0.365854,0.060976,0.0,0.0,0.0
-0.167969,0.285645,0.931641,-0.670732,-0.243902,0.0,0.0,0.0,0.0
-0.155273,0.308594,0.931152,-0.548781,0.121951,0.731707,0.0,0.0,0.0
-0.174316,0.348633,0.910156,-1.341463,-1.280488,-0.487805,0.0,0.0,0.0
-0.174805,0.31543,0.944824,0.243902,-2.621951,-1.95122,0.0,0.0,0.0
-0.17627,0.287598,0.969238,2.621951,-1.646341,-1.890244,0.0,0.0,0.0
-0.171875,0.300293,0.964355,3.719512,-0.304878,-1.402439,0.0,0.0,0.0
-0.174805,0.290527,0.927734,-0.182927,0.792683,3.170732,0.0,0.0,0.0
-0.173828,0.300781,0.944824,1.402439,0.609756,3.170732,0.0,0.0,0.0
-0.164551,0.349609,0.916504,0.792683,0.609756,2.621951,0.0,0.0,0.0
-0.173828,0.353516,0.912109,-1.219512,-1.036585,0.670732,0.0,0.0,0.0
-0.166016,0.312012,0.936035,0.853659,-2.743902,-1.219512,0.0,0.0,0.0
-0.172852,0.298828,0.97168,3.780488,-1.890244,-0.731707,0.0,0.0,0.0
-0.172363,0.303223,0.970215,5.54878,-1.036585,-0.182927,0.0,0.0,0.0
-0.166504,0.304199,0.974121,6.036585,0.121951,-0.487805,0.0,0.0,0.0
-0.162109,0.287598,0.988281,5.243903,0.609756,-0.487805,0.0,0.0,0.0
-0.157715,0.28125,0.974121,4.268293,1.829268,-0.121951,0.0,0.0,0.0
-0.166016,0.28125,0.955566,6.280488,2.926829,1.280488,0.0,0.0,0.0
-0.157715,0.321777,0.925293,4.268293,2.560976,1.463415,0.0,0.0,0.0
-0.159668,0.328613,0.905762,0.609756,1.219512,0.365854,0.0,0.0,0.0
-0.168457,0.307129,0.921387,-0.060976,-0.426829,-0.304878,0.0,0.0,0.0
-0.169922,0.300293,0.950195,0.853659,-0.609756,0.060976,0.0,0.0,0.0
-0.173828,0.304688,0.959473,2.682927,-0.182927,0.487805,0.0,0.0,0.0
-0.179199,0.322266,0.947266,2.317073,0.487805,0.182927,0.0,0.0,0.0
