-1.743159999999999987e-01,2.241209999999999869e-01,9.462890000000000468e-01,0.000000000000000000e+00,-2.012195000000000178e+00,1.219510000000000038e-01,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
-0.188477,0.238281,0.956055,0.914634,-2.012195,0.182927,0.0,0.0,0.0
-0.184082,0.237305,0.966309,1.402439,-2.378049,0.060976,0.0,0.0,0.0
-0.189941,0.239258,0.973633,1.097561,-1.646341,-0.121951,0.0,0.0,0.0
-0.186035,0.233398,0.970215,1.585366,-1.341463,-0.609756,0.0,0.0,0.0
-0.182617,0.230469,0.96875,0.731707,-0.670732,-0.609756,0.0,0.0,0.0
-0.177246,0.233887,0.956543,0.304878,-0.243902,-1.158537,0.0,0.0,0.0
-0.18457,0.225586,0.94873,0.731707,-0.609756,-1.097561,0.0,0.0,0.0
-0.180176,0.212891,0.94873,0.426829,-0.609756,-1.52439,0.0,0.0,0.0
-0.181641,0.20166,0.958496,1.341463,-1.036585,-0.853659,0.0,0.0,0.0
-0.182129,0.205078,0.964844,1.829268,-1.585366,0.060976,0.0,0.0,0.0
-0.179199,0.224609,0.972168,0.243902,-1.280488,0.182927,0.0,0.0,0.0
-0.177734,0.220703,0.969238,-0.792683,-0.914634,-0.365854,0.0,0.0,0.0
-0.181641,0.230957,0.953613,-1.646341,-0.914634,-0.121951,0.0,0.0,0.0
-0.183594,0.228027,0.95459,-1.158537,-0.853659,-0.182927,0.0,0.0,0.0
-0.185059,0.223633,0.955078,-0.243902,-1.341463,-0.548781,0.0,0.0,0.0
-0.186035,0.208984,0.950684,0.243902,-0.792683,-0.853659,0.0,0.0,0.0
-0.189453,0.205566,0.945801,0.182927,-0.97561,0.0,0.0,0.0,0.0
-0.183594,0.203125,0.935059,0.060976,-0.97561,0.365854,0.0,0.0,0.0
-0.182129,0.202148,0.930176,-0.060976,-1.585366,1.585366,0.0,0.0,0.0
-0.180664,0.220703,0.931641,0.243902,-2.865854,2.256098,0.0,0.0,0.0
-0.181641,0.22998,0.943359,0.792683,-3.536585,2.682927,0.0,0.0,0.0
-0.175781,0.233887,0.964355,1.890244,-3.902439,2.865854,0.0,0.0,0.0
-0.17627,0.240723,0.964355,2.073171,-3.719512,2.073171,0.0,0.0,0.0
-0.174805,0.234375,0.98584,2.621951,-3.841464,1.890244,0.0,0.0,0.0
-0.173828,0.232422,1.001465,2.378049,-3.292683,1.95122,0.0,0.0,0.0
-0.163574,0.246094,1.005371,1.52439,-1.707317,1.95122,0.0,0.0,0.0
-0.172363,0.242676,0.986816,0.731707,-0.426829,1.768293,0.0,0.0,0.0
-0.157227,0.257812,0.967773,-0.182927,0.060976,1.219512,0.0,0.0,0.0
-0.166992,0.253906,0.953125,-0.731707,-0.365854,0.182927,0.0,0.0,0.0
-0.16748,0.233887,0.94873,-0.121951,-0.487805,-0.426829,0.0,0.0,0.0
-0.171387,0.236816,0.930176,0.243902,-0.121951,-0.426829,0.0,0.0,0.0
-0.165039,0.224121,0.909668,0.243902,-0.670732,-0.548781,0.0,0.0,0.0
-0.160645,0.199707,0.895996,0.060976,-1.341463,-0.792683,0.0,0.0,0.0
-0.166016,0.18457,0.871094,-0.060976,-1.890244,-0.487805,0.0,0.0,0.0
-0.153809,0.16748,0.863281,-0.060976,-3.170732,0.304878,0.0,0.0,0.0
-0.145508,0.152344,0.867676,0.548781,-4.329268,1.402439,0.0,0.0,0.0
-0.146484,0.158691,0.864258,0.121951,-5.060976,2.378049,0.0,0.0,0.0
-0.132324,0.14209,0.854492,0.0,-4.878049,3.353659,0.0,0.0,0.0
-0.119629,0.147949,0.809082,-1.646341,-4.939024,4.390244,0.0,0.0,0.0
-0.117188,0.117676,0.775879,-2.926829,-6.158537,4.878049,0.0,0.0,0.0
-0.098633,0.104004,0.751953,-2.317073,-7.256098,6.768293,0.0,0.0,0.0
-0.084961,0.101074,0.697754,-2.317073,-7.5,8.109756,0.0,0.0,0.0
-0.059082,0.081055,0.645996,-5.243903,-7.317073,10.609756,0.0,0.0,0.0
-0.058594,0.112305,0.607422,-3.597561,-16.036585,12.5,0.0,0.0,0.0
-0.043457,0.137207,0.594238,-6.829268,-21.95122,13.353659,0.0,0.0,0.0
-0.036133,0.118164,0.592773,-8.47561,-27.92683,14.085366,0.0,0.0,0.0
-0.026855,0.13623,0.588379,-7.926829,-32.378048,15.914635,0.0,0.0,0.0
-0.01123,0.163574,0.574219,-8.963415,-38.170734,16.646341,0.0,0.0,0.0
-0.004395,0.146973,0.614258,-7.804878,-43.414635,17.012196,0.0,0.0,0.0
0.013672,0.161621,0.619629,-8.414635,-46.585365,18.04878,0.0,0.0,0.0
0.030762,0.159668,0.601074,-9.146341,-50.609756,19.390244,0.0,0.0,0.0
0.055176,0.179688,0.578613,-9.390244,-55.121952,20.792683,0.0,0.0,0.0
0.064453,0.182129,0.564941,-11.890244,-60.731709,21.463415,0.0,0.0,0.0
0.103027,0.182617,0.562012,-13.109756,-67.439026,22.92683,0.0,0.0,0.0
0.115723,0.226074,0.551758,-16.402439,-75.548782,23.658537,0.0,0.0,0.0
0.133301,0.205078,0.602539,-19.146341,-83.597565,24.817074,0.0,0.0,0.0
0.162598,0.236816,0.665527,-17.987804,-90.365852,26.524391,0.0,0.0,0.0
0.17041,0.29834,0.75,-20.792683,-96.341469,27.621952,0.0,0.0,0.0
0.17334,0.36084,0.879395,-21.890244,-101.768295,26.829269,0.0,0.0,0.0
0.186035,0.434082,1.040039,-22.073172,-108.414635,24.512196,0.0,0.0,0.0
0.189453,0.481934,1.050781,-32.317074,-96.097565,21.402439,0.0,0.0,0.0
0.194336,0.490234,1.004395,-41.829269,-92.68293,15.914635,0.0,0.0,0.0
0.208496,0.484863,0.972168,-40.975609,-93.109756,11.95122,0.0,0.0,0.0
