0.035645,-0.006104,0.998535,-0.243902,0.182927,0.182927.1,0.000000,0.000000.1,0.000000.2
0.004883,-0.000732,1.006592,-0.182927,0.182927,-0.121951,0.0,0.0,0.0
0.003906,0.000977,1.002441,-0.121951,-0.060976,-0.121951,0.0,0.0,0.0
0.000488,-0.002197,1.005615,-0.060976,0.304878,-0.060976,0.0,0.0,0.0
-0.000977,0.000732,1.000977,0.0,0.426829,0.121951,0.0,0.0,0.0
-0.000732,0.003906,1.002441,-0.121951,0.060976,-0.304878,0.0,0.0,0.0
-0.006104,-0.000244,1.001709,-0.121951,-0.121951,-0.121951,0.0,0.0,0.0
-0.000244,0.000488,0.998535,0.304878,-0.060976,0.0,0.0,0.0,0.0
-0.003174,0.006348,1.004883,-0.060976,-0.060976,0.0,0.0,0.0,0.0
0.001953,0.005127,1.0,0.243902,0.060976,-0.060976,0.0,0.0,0.0
0.002686,-0.001465,1.00708,-0.060976,-0.060976,0.0,0.0,0.0,0.0
0.000244,0.003418,1.001465,0.121951,-0.060976,-0.243902,0.0,0.0,0.0
-0.003906,0.000977,0.998535,0.060976,0.060976,-0.182927,0.0,0.0,0.0
-0.002441,0.004395,1.006104,-0.182927,0.0,0.060976,0.0,0.0,0.0
-0.001221,-0.000244,1.002197,0.0,0.121951,-0.182927,0.0,0.0,0.0
-0.005127,0.003418,1.00708,0.182927,0.243902,0.060976,0.0,0.0,0.0
-0.009766,0.000488,0.997803,-0.121951,-0.243902,-0.304878,0.0,0.0,0.0
-0.002686,0.005127,1.006592,-0.121951,0.060976,-0.182927,0.0,0.0,0.0
-0.00293,0.005371,1.004883,-0.182927,0.0,-0.121951,0.0,0.0,0.0
-0.002197,-0.000977,1.006348,-0.365854,-0.060976,0.060976,0.0,0.0,0.0
-0.001221,-0.001709,1.004395,-0.426829,-0.121951,-0.365854,0.0,0.0,0.0
-0.006348,0.002686,1.006104,-0.548781,-0.121951,-0.548781,0.0,0.0,0.0
-0.006104,0.001221,1.000977,-0.243902,-0.121951,-0.609756,0.0,0.0,0.0
-0.009521,0.001709,1.006592,-0.426829,-0.304878,-0.731707,0.0,0.0,0.0
-0.010498,0.009033,1.002686,-0.182927,-0.060976,-0.97561,0.0,0.0,0.0
-0.02832,0.014893,1.003662,-0.121951,0.0,-1.158537,0.0,0.0,0.0
-0.07666,0.018066,0.994385,-0.609756,0.182927,-1.219512,0.0,0.0,0.0
-0.178467,0.003906,1.010986,0.304878,-0.121951,-1.829268,0.0,0.0,0.0
-0.018555,-0.001221,0.988037,0.426829,0.426829,-0.182927,0.0,0.0,0.0
-0.120605,0.012207,1.012695,-0.97561,-0.243902,0.060976,0.0,0.0,0.0
-0.170898,0.02832,0.995605,0.853659,0.182927,0.243902,0.0,0.0,0.0
-0.204834,0.015381,1.004883,0.609756,0.304878,0.731707,0.0,0.0,0.0
-0.21582,0.023926,0.996338,0.121951,0.121951,1.219512,0.0,0.0,0.0
-0.240234,0.05835,0.996826,-0.182927,0.182927,2.134146,0.0,0.0,0.0
-0.276123,0.054199,1.003906,0.731707,0.0,2.012195,0.0,0.0,0.0
-0.318604,0.038574,1.002197,-0.060976,0.060976,3.231707,0.0,0.0,0.0
-0.342285,0.042725,0.996094,0.365854,0.243902,3.47561,0.0,0.0,0.0
-0.423096,0.006348,1.003418,0.121951,0.182927,5.914634,0.0,0.0,0.0
-0.413086,-0.009277,1.002686,-1.768293,0.426829,8.963415,0.0,0.0,0.0
-0.38501,-0.007812,0.999756,-0.609756,0.670732,12.621951,0.0,0.0,0.0
-0.358643,0.036865,1.009521,0.121951,0.853659,16.524391,0.0,0.0,0.0
-0.29248,0.063965,1.007324,0.731707,0.97561,18.109756,0.0,0.0,0.0
-0.298828,0.102539,1.0,3.231707,0.609756,19.817074,0.0,0.0,0.0
-0.311279,0.138916,1.008545,6.95122,0.243902,18.04878,0.0,0.0,0.0
-0.219971,0.083252,1.001221,5.365854,0.182927,16.463415,0.0,0.0,0.0
-0.235352,0.028564,0.990234,5.243903,0.670732,14.268293,0.0,0.0,0.0
-0.223145,-0.006104,0.97998,-4.268293,0.609756,12.5,0.0,0.0,0.0
-0.220459,-0.024902,1.026611,-20.54878,0.060976,11.768293,0.0,0.0,0.0
-0.222656,-0.015137,0.988037,-2.560976,0.426829,13.658537,0.0,0.0,0.0
-0.199707,-0.026855,0.986328,-7.195122,-0.609756,14.207317,0.0,0.0,0.0
-0.171631,-0.044678,1.01416,-5.060976,0.426829,15.731708,0.0,0.0,0.0
-0.165283,-0.009766,1.003906,0.0,0.670732,16.036585,0.0,0.0,0.0
-0.128906,-0.058838,1.008301,2.256098,-0.182927,18.536585,0.0,0.0,0.0
-0.015625,-0.029541,1.021484,4.390244,0.853659,24.268293,0.0,0.0,0.0
-0.080811,0.11377,1.019531,13.109756,1.768293,21.95122,0.0,0.0,0.0
-0.037354,0.068604,0.985596,11.890244,0.914634,15.792684,0.0,0.0,0.0
0.003906,0.074707,1.012207,0.792683,0.731707,11.890244,0.0,0.0,0.0
0.080078,-0.000488,1.004883,4.207317,-0.243902,10.365854,0.0,0.0,0.0
0.111572,0.005127,0.979248,-1.219512,0.609756,7.317073,0.0,0.0,0.0
0.06665,-0.016113,0.975098,-4.390244,-0.304878,2.743902,0.0,0.0,0.0
-0.005371,-0.023682,0.995361,-10.609756,0.0,0.609756,0.0,0.0,0.0
0.089844,-0.080322,1.021484,-18.170732,-0.97561,0.97561,0.0,0.0,0.0
0.049316,-0.055176,0.995605,0.548781,-0.304878,4.573171,0.0,0.0,0.0
0.20166,-0.085938,1.004883,-1.890244,-0.365854,4.390244,0.0,0.0,0.0
0.143311,-0.071777,1.028809,-1.219512,0.0,4.756098,0.0,0.0,0.0
