-0.003418,0.008789,1.004150,0.060976,0.000000,-0.304878,0.000000.1,0.000000.2,0.000000.3
0.009521,-0.009277,0.998047,0.0,0.121951,-0.304878,0.0,0.0,0.0
0.00293,0.001465,1.000244,-0.060976,0.060976,-0.121951,0.0,0.0,0.0
0.004883,-0.000244,1.000244,-0.243902,-0.121951,0.121951,0.0,0.0,0.0
-0.002686,0.005859,1.003662,-0.426829,0.243902,0.0,0.0,0.0,0.0
-0.005127,0.004395,1.005859,-0.060976,0.060976,-0.060976,0.0,0.0,0.0
-0.001709,0.004883,1.001709,-0.060976,0.060976,-0.121951,0.0,0.0,0.0
-0.005371,0.007568,1.002197,0.0,-0.060976,0.0,0.0,0.0,0.0
-0.000977,-0.002197,1.001221,-0.121951,0.060976,0.060976,0.0,0.0,0.0
0.0,-0.000244,1.004395,-0.182927,0.304878,0.0,0.0,0.0,0.0
-0.001221,0.00708,1.001709,0.121951,0.243902,-0.121951,0.0,0.0,0.0
0.000244,0.002441,1.005371,0.243902,0.182927,-0.060976,0.0,0.0,0.0
-0.001221,0.007324,1.004639,0.243902,0.121951,0.0,0.0,0.0,0.0
-0.001709,0.001953,1.00293,0.121951,-0.182927,-0.182927,0.0,0.0,0.0
0.0,0.001709,1.005127,-0.243902,0.182927,0.060976,0.0,0.0,0.0
0.000488,-0.000488,1.000244,-0.121951,0.121951,0.121951,0.0,0.0,0.0
0.003174,-0.003418,1.002197,-0.060976,0.121951,0.121951,0.0,0.0,0.0
-0.009277,0.00708,1.006592,-0.060976,-0.365854,0.060976,0.0,0.0,0.0
-0.000732,0.0,1.005615,-0.243902,0.121951,0.060976,0.0,0.0,0.0
0.00293,0.0,1.002686,-0.121951,-0.060976,-0.060976,0.0,0.0,0.0
-0.001221,0.001221,0.999756,-0.060976,-0.182927,0.365854,0.0,0.0,0.0
-0.001709,0.008301,1.000732,-0.060976,0.0,0.182927,0.0,0.0,0.0
-0.000977,0.001953,1.003662,-0.243902,0.0,0.121951,0.0,0.0,0.0
-0.000977,0.003418,1.001221,-0.121951,0.060976,0.060976,0.0,0.0,0.0
-0.000977,0.005127,1.007324,-0.243902,0.060976,0.182927,0.0,0.0,0.0
0.000488,0.005127,0.999756,0.0,-0.121951,0.182927,0.0,0.0,0.0
-0.003662,0.0,1.005371,0.0,0.121951,0.060976,0.0,0.0,0.0
-0.005371,-0.000977,1.006104,0.060976,-0.060976,0.0,0.0,0.0,0.0
-0.000244,0.006836,1.005615,0.060976,-0.182927,0.0,0.0,0.0,0.0
0.003174,0.005371,0.999512,0.060976,0.060976,0.182927,0.0,0.0,0.0
-0.004883,0.000977,1.003662,0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.00708,0.002441,0.996826,-0.243902,-0.060976,-0.121951,0.0,0.0,0.0
-0.005371,0.005859,1.004883,0.0,0.060976,-0.365854,0.0,0.0,0.0
-0.002197,0.008301,1.002197,-0.243902,-0.060976,-0.792683,0.0,0.0,0.0
-0.012451,0.007324,1.00293,-0.182927,0.060976,-0.853659,0.0,0.0,0.0
-0.024658,0.006836,1.001953,-0.609756,0.060976,-1.036585,0.0,0.0,0.0
-0.017578,0.018311,1.010498,-0.548781,-0.182927,-1.280488,0.0,0.0,0.0
