-0.002197,0.007568,1.006836,0.000000,-0.304878,-0.609756,0.000000.1,0.000000.2,0.000000.3
-0.000732,0.002686,1.001465,0.0,0.243902,-0.609756,0.0,0.0,0.0
-0.005371,0.004395,1.009033,0.0,0.060976,-0.426829,0.0,0.0,0.0
-0.001465,0.008057,0.998779,0.121951,-0.182927,-0.853659,0.0,0.0,0.0
-0.001709,-0.004639,1.005127,0.060976,-0.060976,-0.731707,0.0,0.0,0.0
-0.005127,0.003174,1.005371,0.060976,0.0,-0.487805,0.0,0.0,0.0
0.002686,0.005859,1.001953,0.060976,-0.060976,-0.487805,0.0,0.0,0.0
0.000977,0.00293,1.004395,0.243902,0.0,-0.731707,0.0,0.0,0.0
-0.006104,0.012207,1.005615,0.243902,0.182927,-0.426829,0.0,0.0,0.0
-0.002686,0.013428,1.004639,0.0,0.243902,-0.914634,0.0,0.0,0.0
-0.001465,-0.006348,1.003174,0.182927,0.426829,-0.914634,0.0,0.0,0.0
-0.00293,0.005371,1.006348,0.121951,0.365854,-0.609756,0.0,0.0,0.0
-0.001221,0.000732,1.005127,0.243902,0.365854,-0.365854,0.0,0.0,0.0
-0.001953,0.00415,0.996826,-0.121951,0.304878,-0.182927,0.0,0.0,0.0
-0.003418,0.009277,1.00293,0.060976,0.060976,0.060976,0.0,0.0,0.0
-0.001465,0.003906,1.0,0.121951,0.0,-0.182927,0.0,0.0,0.0
-0.002197,0.009521,0.995117,0.121951,-0.182927,-0.060976,0.0,0.0,0.0
-0.004395,0.003662,1.00293,-0.121951,-0.243902,-0.304878,0.0,0.0,0.0
0.001221,0.002686,1.005371,-0.121951,-0.304878,-0.243902,0.0,0.0,0.0
0.0,0.003906,1.005371,-0.243902,-0.121951,0.060976,0.0,0.0,0.0
-0.001953,0.00415,1.003662,0.0,0.243902,-0.182927,0.0,0.0,0.0
0.002197,0.013184,1.003906,0.060976,0.060976,-0.304878,0.0,0.0,0.0
-0.002686,0.008545,1.005859,-0.121951,0.487805,-0.365854,0.0,0.0,0.0
-0.005859,0.004883,1.000244,-0.121951,0.365854,-0.548781,0.0,0.0,0.0
-0.003174,0.005127,1.002441,0.0,-0.060976,-0.182927,0.0,0.0,0.0
-0.00415,0.006348,0.998047,0.060976,0.121951,0.0,0.0,0.0,0.0
-0.004883,0.010986,0.996094,0.0,-0.182927,-0.060976,0.0,0.0,0.0
0.001953,0.009277,0.993896,-0.182927,-0.609756,0.060976,0.0,0.0,0.0
-0.009766,0.028564,1.003662,-0.243902,-1.219512,-0.609756,0.0,0.0,0.0
0.0,-0.005127,1.003906,-0.548781,-0.731707,-0.853659,0.0,0.0,0.0
-0.007812,0.020508,1.010986,-1.219512,-0.365854,-0.914634,0.0,0.0,0.0
-0.005615,-0.000488,1.005127,-1.158537,-0.365854,-1.158537,0.0,0.0,0.0
-0.020996,0.024658,1.005859,-0.792683,-0.304878,-1.768293,0.0,0.0,0.0
-0.019531,-0.005615,1.010986,-0.365854,0.0,-2.439024,0.0,0.0,0.0
-0.041504,0.016113,0.996826,0.060976,-0.060976,-2.865854,0.0,0.0,0.0
-0.040771,-0.026367,1.026123,-1.768293,0.060976,-2.804878,0.0,0.0,0.0
-0.067383,-0.02124,1.017578,-0.243902,-0.121951,-1.95122,0.0,0.0,0.0
-0.165527,-0.026123,1.007568,-0.243902,-0.243902,-0.426829,0.0,0.0,0.0
-0.047607,-0.041504,1.009521,-0.609756,0.243902,2.621951,0.0,0.0,0.0
-0.034424,-0.002441,1.005371,-0.670732,-0.060976,4.634146,0.0,0.0,0.0
-0.07373,-0.001221,1.000244,-0.365854,0.121951,5.853659,0.0,0.0,0.0
-0.090576,0.021973,1.003662,0.487805,0.304878,6.219512,0.0,0.0,0.0
-0.070557,0.011475,1.000488,0.97561,0.548781,5.914634,0.0,0.0,0.0
-0.086426,0.020508,1.000977,0.487805,0.0,6.219512,0.0,0.0,0.0
-0.110107,0.020752,0.996826,0.182927,0.243902,6.829268,0.0,0.0,0.0
-0.107178,0.026367,1.008057,-0.304878,0.426829,6.158537,0.0,0.0,0.0
-0.12915,-0.003418,1.005859,0.121951,0.060976,5.97561,0.0,0.0,0.0
-0.130371,0.014404,1.002686,0.121951,0.243902,6.585366,0.0,0.0,0.0
-0.167236,0.015137,0.994629,0.426829,0.487805,7.256098,0.0,0.0,0.0
-0.167725,0.013428,1.006836,-0.97561,0.182927,6.585366,0.0,0.0,0.0
-0.210693,0.007812,1.005371,0.487805,0.365854,6.52439,0.0,0.0,0.0
-0.217773,-0.007324,1.016602,0.182927,0.243902,6.829268,0.0,0.0,0.0
-0.18042,0.007324,1.027832,0.060976,0.121951,7.378049,0.0,0.0,0.0
-0.21167,-0.025391,1.001709,-0.853659,0.0,7.256098,0.0,0.0,0.0
-0.298584,-0.066406,1.00708,-0.670732,0.0,10.54878,0.0,0.0,0.0
-0.244385,-0.068359,0.993896,-0.121951,0.0,16.768293,0.0,0.0,0.0
-0.228516,-0.003418,1.000977,-2.621951,0.121951,21.646341,0.0,0.0,0.0
-0.320312,-0.009277,1.00708,-5.487805,0.0,25.0,0.0,0.0,0.0
-0.236084,0.065186,1.003418,5.365854,1.158537,30.304878,0.0,0.0,0.0
-0.138672,0.106934,0.998779,6.585366,1.036585,32.2561,0.0,0.0,0.0
-0.145508,0.153564,1.006836,4.45122,1.52439,29.634148,0.0,0.0,0.0
-0.138916,0.179199,1.033447,12.743903,1.036585,27.073172,0.0,0.0,0.0
-0.066406,0.189697,0.995361,45.0,1.341463,20.0,0.0,0.0,0.0
-0.075195,0.144531,1.063965,-22.195122,0.0,15.426829,0.0,0.0,0.0
-0.158691,0.069092,1.00293,2.5,0.548781,15.853659,0.0,0.0,0.0
-0.071533,0.040283,0.972656,-8.414635,0.304878,13.04878,0.0,0.0,0.0
-0.130615,0.071533,0.996094,-10.121951,0.060976,4.512195,0.0,0.0,0.0
-0.020996,-0.113525,0.992432,-22.5,0.182927,1.829268,0.0,0.0,0.0
-0.108154,-0.072021,1.007324,-38.780487,-2.682927,3.04878,0.0,0.0,0.0
-0.123535,-0.09375,1.074463,-14.756098,-0.853659,5.304878,0.0,0.0,0.0
-0.0979,-0.09082,0.996582,1.219512,0.121951,9.939025,0.0,0.0,0.0
-0.068359,-0.060303,1.024658,-0.487805,-0.121951,12.5,0.0,0.0,0.0
