-0.004883,0.009521,1.003662,-0.121951,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.005615,0.014893,1.001221,0.0,0.182927,0.121951,0.0,0.0,0.0
-0.003906,0.008789,1.001465,-0.182927,-0.060976,-0.243902,0.0,0.0,0.0
0.000732,0.011963,1.00293,-0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.000488,0.01416,1.00415,0.0,-0.121951,0.243902,0.0,0.0,0.0
-0.003174,0.014648,0.997803,-0.426829,0.121951,0.304878,0.0,0.0,0.0
-0.001709,0.015381,1.000488,0.060976,0.060976,0.304878,0.0,0.0,0.0
-0.000732,0.009766,1.003174,0.060976,0.182927,-0.121951,0.0,0.0,0.0
-0.006104,0.016846,0.999512,-0.121951,0.182927,0.060976,0.0,0.0,0.0
-0.000488,0.015137,1.003174,-0.243902,-0.121951,0.121951,0.0,0.0,0.0
-0.006836,0.01123,1.000488,-0.060976,0.182927,0.121951,0.0,0.0,0.0
0.000488,0.010498,1.0,0.243902,-0.060976,0.0,0.0,0.0,0.0
-0.007568,0.012207,1.003906,0.121951,0.121951,-0.182927,0.0,0.0,0.0
0.005127,0.016113,1.001709,-0.182927,-0.060976,0.121951,0.0,0.0,0.0
-0.000244,0.019043,1.00708,-0.121951,0.182927,0.060976,0.0,0.0,0.0
-0.00293,0.009521,1.001221,0.0,-0.182927,0.182927,0.0,0.0,0.0
0.0,0.015625,0.997559,-0.243902,0.182927,0.304878,0.0,0.0,0.0
-0.000732,0.015625,1.00293,0.0,-0.060976,0.365854,0.0,0.0,0.0
-0.007568,0.011719,1.003174,-0.182927,0.0,0.060976,0.0,0.0,0.0
-0.008545,0.009033,1.005371,-0.060976,0.060976,0.304878,0.0,0.0,0.0
-0.005615,0.020752,1.006104,-0.243902,-0.304878,0.182927,0.0,0.0,0.0
-0.002686,0.016357,1.00415,0.0,0.060976,0.121951,0.0,0.0,0.0
-0.007568,0.02002,1.005371,-0.060976,0.182927,-0.121951,0.0,0.0,0.0
-0.003906,0.018066,1.002197,0.0,-0.060976,-0.243902,0.0,0.0,0.0
-0.009033,0.019043,1.002197,0.060976,0.060976,-0.304878,0.0,0.0,0.0
-0.068115,0.004883,1.004639,-0.304878,0.121951,-0.121951,0.0,0.0,0.0
-0.012451,0.016602,1.007324,-0.243902,0.121951,-0.182927,0.0,0.0,0.0
-0.033447,0.016602,1.002441,-0.182927,0.0,-0.426829,0.0,0.0,0.0
-0.060791,0.012451,0.999268,0.0,-0.243902,-0.487805,0.0,0.0,0.0
-0.077881,0.029297,1.003662,-0.060976,-0.182927,-0.243902,0.0,0.0,0.0
-0.190674,0.025391,0.994629,-0.243902,0.0,0.182927,0.0,0.0,0.0
-0.114258,0.030762,0.995361,0.121951,-0.304878,2.987805,0.0,0.0,0.0
-0.109375,0.027832,0.998535,-0.060976,0.182927,3.292683,0.0,0.0,0.0
-0.169189,0.054199,1.006592,0.182927,0.0,4.085366,0.0,0.0,0.0
-0.161133,0.058838,1.01123,0.487805,0.121951,3.658537,0.0,0.0,0.0
-0.193604,0.050049,1.001709,0.731707,0.304878,4.146341,0.0,0.0,0.0
-0.194824,0.04541,0.999756,0.426829,0.304878,4.756098,0.0,0.0,0.0
-0.190186,0.036133,1.010742,-0.304878,0.243902,4.939024,0.0,0.0,0.0
-0.208008,0.047607,0.999023,0.487805,0.182927,5.609756,0.0,0.0,0.0
-0.16626,0.092041,0.996826,-0.304878,0.548781,5.487805,0.0,0.0,0.0
-0.255127,0.024414,0.998779,-1.097561,0.609756,5.54878,0.0,0.0,0.0
-0.177734,0.020508,0.990723,0.426829,0.487805,8.963415,0.0,0.0,0.0
-0.247559,0.074951,0.996338,0.060976,1.036585,9.878049,0.0,0.0,0.0
-0.216553,0.092529,1.001465,0.121951,0.182927,10.670732,0.0,0.0,0.0
-0.139648,0.048584,1.00415,0.670732,-0.060976,9.02439,0.0,0.0,0.0
-0.179688,0.044434,0.996338,0.426829,0.548781,10.487805,0.0,0.0,0.0
-0.152588,0.063721,1.010254,0.731707,0.243902,11.829268,0.0,0.0,0.0
-0.189941,0.049072,1.0,-1.463415,0.365854,11.219512,0.0,0.0,0.0
-0.122803,0.058838,0.998779,-0.182927,-0.121951,11.158537,0.0,0.0,0.0
-0.241699,0.097412,1.018311,-0.792683,0.426829,11.097561,0.0,0.0,0.0
-0.139404,0.047119,0.997803,-0.426829,0.97561,11.52439,0.0,0.0,0.0
-0.114502,0.028076,1.001221,-0.243902,0.97561,9.085366,0.0,0.0,0.0
-0.08374,0.024414,1.001709,-0.97561,0.304878,7.865854,0.0,0.0,0.0
-0.171631,0.027588,0.997803,-0.609756,0.853659,9.695122,0.0,0.0,0.0
-0.100342,-0.001465,0.997314,0.487805,0.487805,9.45122,0.0,0.0,0.0
-0.125732,-0.014648,1.010986,-2.378049,0.365854,8.231708,0.0,0.0,0.0
-0.047852,0.016602,1.001709,-0.060976,0.731707,9.878049,0.0,0.0,0.0
-0.163086,-0.010254,1.00708,-1.402439,0.304878,6.829268,0.0,0.0,0.0
0.010498,-0.012939,1.005127,-1.280488,0.304878,7.073171,0.0,0.0,0.0
-0.140137,-0.028076,1.014648,-1.036585,0.792683,5.792683,0.0,0.0,0.0
-0.082275,-0.010498,1.024414,0.243902,0.304878,5.670732,0.0,0.0,0.0
-0.079346,-0.018066,0.97583,-2.256098,0.548781,5.243903,0.0,0.0,0.0
-0.036621,0.012207,1.008057,-2.195122,0.548781,5.0,0.0,0.0,0.0
-0.083008,-0.008545,1.009766,-0.914634,1.280488,3.353659,0.0,0.0,0.0
-0.202393,0.047607,1.009033,-1.097561,-0.548781,4.207317,0.0,0.0,0.0
-0.023438,0.048096,0.991943,0.792683,-0.487805,3.292683,0.0,0.0,0.0
-0.020264,0.059082,1.00293,0.914634,0.304878,1.646341,0.0,0.0,0.0
0.020996,0.018066,1.022705,-0.548781,-0.304878,1.280488,0.0,0.0,0.0
0.013672,0.030273,1.000732,0.0,0.0,-1.52439,0.0,0.0,0.0
-0.012939,-0.021729,1.021973,-1.219512,0.182927,-0.548781,0.0,0.0,0.0
0.085205,0.020508,0.999512,-1.463415,-0.609756,-2.256098,0.0,0.0,0.0
-0.013184,-0.028564,1.011719,-4.207317,-0.731707,-3.597561,0.0,0.0,0.0
0.021484,-0.05542,0.983398,-1.829268,-0.304878,-5.182927,0.0,0.0,0.0
0.058594,-0.086182,1.00415,-1.402439,-0.304878,-4.146341,0.0,0.0,0.0
0.097168,-0.115234,1.011963,-2.926829,0.243902,-3.597561,0.0,0.0,0.0
0.018311,-0.048096,1.009766,-2.073171,1.463415,-2.439024,0.0,0.0,0.0
0.093506,-0.044678,1.015381,-0.426829,-0.731707,-3.414634,0.0,0.0,0.0
0.114746,-0.035889,1.036865,-0.365854,-0.304878,-2.987805,0.0,0.0,0.0
0.056152,0.003662,0.993408,1.341463,0.0,-2.865854,0.0,0.0,0.0
0.146973,-0.031738,0.992432,-0.487805,0.243902,-3.231707,0.0,0.0,0.0
0.023926,-0.016357,1.018799,-2.073171,-0.243902,-1.463415,0.0,0.0,0.0
0.041748,-0.021973,1.027588,-0.121951,-0.97561,-2.621951,0.0,0.0,0.0
0.147949,-0.001953,1.036133,-0.304878,-0.426829,-2.317073,0.0,0.0,0.0
0.104736,-0.007568,1.01001,-0.609756,-0.365854,-3.902439,0.0,0.0,0.0
0.147461,0.009033,0.976074,-1.036585,0.182927,-4.268293,0.0,0.0,0.0
0.122314,-0.005371,0.990234,-1.158537,-0.243902,-5.609756,0.0,0.0,0.0
0.213867,0.003662,1.033936,-0.914634,-0.914634,-7.682927,0.0,0.0,0.0
0.18335,-0.022705,0.998047,-0.853659,-0.792683,-9.207317,0.0,0.0,0.0
0.139893,-0.025146,1.007812,-1.097561,-0.365854,-9.390244,0.0,0.0,0.0
0.19165,-0.023438,0.986572,0.182927,-0.426829,-9.085366,0.0,0.0,0.0
0.184326,-0.031006,1.010986,-0.670732,-0.548781,-9.634147,0.0,0.0,0.0
0.179443,-0.031738,1.003418,0.304878,-0.182927,-9.390244,0.0,0.0,0.0
0.179199,-0.031494,1.015625,-0.060976,-0.97561,-9.02439,0.0,0.0,0.0
0.17041,-0.033691,1.006104,-0.426829,-0.670732,-7.865854,0.0,0.0,0.0
0.150635,-0.0271,0.982666,0.97561,-0.121951,-7.621952,0.0,0.0,0.0
0.181641,0.002441,0.999268,-0.243902,-0.487805,-5.365854,0.0,0.0,0.0
0.131836,-0.024902,1.006836,-0.487805,-0.426829,-5.487805,0.0,0.0,0.0
0.111328,0.018066,0.982422,-1.463415,-0.365854,-4.268293,0.0,0.0,0.0
0.144287,-0.009766,1.029297,0.060976,-0.365854,-3.536585,0.0,0.0,0.0
0.14502,-0.025391,0.994141,0.0,-0.182927,-2.5,0.0,0.0,0.0
0.117676,-0.001709,0.983154,-0.487805,-0.182927,-1.707317,0.0,0.0,0.0
0.115723,-0.017334,0.984375,0.365854,-0.182927,-0.365854,0.0,0.0,0.0
0.118164,0.014404,1.011963,-0.548781,-0.243902,0.182927,0.0,0.0,0.0
0.126465,-0.011963,1.01001,-0.487805,-0.121951,0.670732,0.0,0.0,0.0
0.101318,0.005371,0.998291,-0.609756,-0.060976,2.865854,0.0,0.0,0.0
0.078613,0.005127,0.99707,-0.304878,0.0,3.170732,0.0,0.0,0.0
0.088867,0.005859,1.005859,-0.243902,-0.060976,4.02439,0.0,0.0,0.0
0.078125,0.024414,0.99292,-0.121951,-0.060976,4.878049,0.0,0.0,0.0
0.043945,0.000488,0.989258,0.853659,0.182927,5.54878,0.0,0.0,0.0
0.060059,0.016113,0.999023,0.304878,0.0,6.219512,0.0,0.0,0.0
0.036865,0.02832,0.991211,-0.060976,-0.182927,6.646342,0.0,0.0,0.0
0.047119,0.01416,0.98877,-0.060976,-0.060976,6.95122,0.0,0.0,0.0
0.015381,0.00708,1.009521,-0.487805,-0.182927,6.890244,0.0,0.0,0.0
0.03833,0.016357,0.997559,-0.487805,0.243902,6.463415,0.0,0.0,0.0
0.015381,0.017822,0.999512,0.304878,-0.060976,5.609756,0.0,0.0,0.0
0.027344,0.0,1.005859,0.060976,0.0,5.060976,0.0,0.0,0.0
0.013672,0.00415,1.005615,0.121951,0.060976,4.817073,0.0,0.0,0.0
0.014404,0.012451,0.99707,-0.304878,0.182927,5.54878,0.0,0.0,0.0
0.004395,-0.000244,1.001953,-0.182927,-0.060976,5.304878,0.0,0.0,0.0
-0.000488,-0.007568,1.004639,-0.121951,0.121951,6.097561,0.0,0.0,0.0
-0.020264,-0.026123,1.012207,0.365854,0.0,6.890244,0.0,0.0,0.0
0.005615,0.020264,1.013672,0.243902,0.060976,7.012195,0.0,0.0,0.0
-0.002197,0.012451,0.998047,-0.243902,0.121951,7.439024,0.0,0.0,0.0
-0.025879,0.008545,1.001465,-0.182927,0.182927,7.256098,0.0,0.0,0.0
-0.000732,-0.00708,0.998291,-0.182927,0.243902,8.47561,0.0,0.0,0.0
-0.002441,0.006348,0.99585,-0.365854,0.060976,8.780488,0.0,0.0,0.0
-0.018799,-0.013184,1.014648,0.0,0.182927,9.268292,0.0,0.0,0.0
0.02002,0.002197,0.977295,0.487805,0.487805,10.060976,0.0,0.0,0.0
-0.009277,0.004639,0.993652,0.792683,0.243902,11.036586,0.0,0.0,0.0
-0.004883,0.000977,1.001709,-0.243902,0.365854,11.219512,0.0,0.0,0.0
-0.003174,0.000244,1.025146,0.365854,0.121951,11.036586,0.0,0.0,0.0
0.013916,0.016357,0.994141,0.0,0.121951,11.646341,0.0,0.0,0.0
-0.012207,-0.010742,1.02002,-0.243902,0.243902,10.609756,0.0,0.0,0.0
0.018311,0.015137,1.008301,-0.060976,0.0,10.609756,0.0,0.0,0.0
0.047852,0.038818,1.004883,0.182927,0.0,9.268292,0.0,0.0,0.0
0.023926,0.009277,0.998047,-0.304878,0.182927,8.231708,0.0,0.0,0.0
0.005615,0.00293,1.015625,0.182927,0.182927,7.682927,0.0,0.0,0.0
0.022949,-0.001221,0.992432,0.487805,0.182927,7.439024,0.0,0.0,0.0
0.015869,-0.002441,0.983398,-0.304878,0.304878,7.439024,0.0,0.0,0.0
0.019531,0.018555,0.996826,0.243902,0.121951,7.682927,0.0,0.0,0.0
0.005371,0.016357,0.989014,0.304878,0.487805,7.012195,0.0,0.0,0.0
0.023438,0.010742,1.002197,0.0,0.060976,6.585366,0.0,0.0,0.0
0.032471,0.029541,1.006592,0.243902,0.060976,6.768293,0.0,0.0,0.0
0.016602,0.021484,1.006592,-0.060976,0.304878,6.280488,0.0,0.0,0.0
0.018066,0.019287,1.002686,0.304878,0.060976,6.036585,0.0,0.0,0.0
0.038574,0.008057,1.000977,0.243902,0.243902,5.792683,0.0,0.0,0.0
0.06958,0.043945,0.994141,0.365854,0.182927,5.426829,0.0,0.0,0.0
0.035889,0.042969,1.003906,0.182927,0.243902,5.0,0.0,0.0,0.0
0.053711,0.024658,1.001221,0.243902,0.060976,3.04878,0.0,0.0,0.0
0.070312,0.041016,1.00415,0.121951,-0.060976,0.731707,0.0,0.0,0.0
0.004639,0.011475,1.006592,0.060976,-0.182927,0.121951,0.0,0.0,0.0
-0.002197,0.009277,1.006104,0.0,0.060976,0.0,0.0,0.0,0.0
-0.000488,0.008057,0.998779,0.121951,0.121951,-0.121951,0.0,0.0,0.0
0.001953,0.011475,1.000244,-0.060976,0.121951,-0.243902,0.0,0.0,0.0
-0.001221,0.007568,1.002686,0.060976,0.121951,-0.121951,0.0,0.0,0.0
-0.006104,0.013428,1.004395,0.121951,0.304878,0.060976,0.0,0.0,0.0
-0.001221,0.003662,1.008301,0.121951,0.060976,0.121951,0.0,0.0,0.0
0.004395,0.01001,1.005859,-0.182927,0.060976,-0.304878,0.0,0.0,0.0
0.002686,0.001465,1.003174,-0.121951,-0.060976,-0.060976,0.0,0.0,0.0
0.000977,0.00293,0.998779,0.0,-0.121951,0.0,0.0,0.0,0.0
