0.003906,0.011719,1.009033,-0.182927,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
0.010742,0.001709,1.006592,0.487805,0.0,0.487805,0.0,0.0,0.0
0.020508,-0.012695,0.994873,0.304878,0.243902,1.52439,0.0,0.0,0.0
0.055908,-0.069336,1.000244,-2.195122,0.609756,4.329268,0.0,0.0,0.0
0.042969,-0.014648,1.005127,-2.439024,0.0,8.170732,0.0,0.0,0.0
0.040039,0.041992,1.007568,-0.365854,0.487805,8.963415,0.0,0.0,0.0
0.177246,0.078857,1.004395,2.317073,0.060976,6.585366,0.0,0.0,0.0
-0.03125,0.055176,1.004883,0.060976,-0.121951,1.890244,0.0,0.0,0.0
0.02124,0.046387,0.996826,5.0,-0.060976,1.219512,0.0,0.0,0.0
0.005371,0.000732,1.00415,-0.609756,-0.487805,-0.060976,0.0,0.0,0.0
0.05127,0.013428,0.999023,-0.914634,-0.426829,-0.121951,0.0,0.0,0.0
0.030273,-0.02002,1.001221,-6.768293,-0.426829,0.609756,0.0,0.0,0.0
0.039795,-0.002686,1.007568,-6.463415,-0.365854,1.95122,0.0,0.0,0.0
0.040039,-0.019775,1.003418,-8.170732,0.243902,3.292683,0.0,0.0,0.0
0.07251,0.015137,1.007568,-1.890244,0.060976,5.182927,0.0,0.0,0.0
0.017578,-0.014404,1.001465,0.0,0.121951,6.52439,0.0,0.0,0.0
0.046143,-0.053223,0.999268,0.365854,0.0,10.060976,0.0,0.0,0.0
0.051514,0.042725,1.013916,2.865854,0.487805,12.073171,0.0,0.0,0.0
0.046631,0.001953,0.997314,5.97561,0.365854,10.54878,0.0,0.0,0.0
0.055908,0.067139,1.018066,7.5,0.0,9.390244,0.0,0.0,0.0
0.057129,0.041504,1.0,0.304878,0.548781,6.402439,0.0,0.0,0.0
0.040527,0.029541,1.004395,0.060976,0.304878,4.512195,0.0,0.0,0.0
0.043701,0.023438,1.001221,0.060976,0.182927,4.146341,0.0,0.0,0.0
0.063965,0.05249,1.005371,-0.426829,0.182927,3.780488,0.0,0.0,0.0
0.050293,0.039062,1.01123,-1.463415,0.487805,2.987805,0.0,0.0,0.0
0.08667,0.028809,1.010254,0.060976,0.304878,2.073171,0.0,0.0,0.0
0.068115,0.043457,0.999512,0.97561,0.487805,0.304878,0.0,0.0,0.0
0.039307,-0.006348,1.00293,0.304878,0.121951,0.670732,0.0,0.0,0.0
0.051758,0.014893,1.004395,0.853659,0.487805,1.585366,0.0,0.0,0.0
0.048828,-0.022461,1.0,-0.609756,0.121951,1.402439,0.0,0.0,0.0
0.068604,0.000244,1.000244,-0.97561,0.121951,2.439024,0.0,0.0,0.0
0.036621,0.001465,1.002441,0.060976,0.182927,1.585366,0.0,0.0,0.0
0.05957,-0.007812,1.005859,-1.036585,0.121951,2.195122,0.0,0.0,0.0
0.08374,0.010254,1.00415,0.548781,0.304878,2.560976,0.0,0.0,0.0
0.072266,0.000244,1.00708,0.304878,0.243902,2.439024,0.0,0.0,0.0
0.107178,0.006836,0.996582,0.792683,0.548781,1.95122,0.0,0.0,0.0
0.119873,0.022705,0.993896,1.341463,0.609756,2.073171,0.0,0.0,0.0
0.112549,-0.005859,1.003662,-0.670732,0.0,1.52439,0.0,0.0,0.0
0.090332,0.001465,1.0,0.0,0.121951,2.317073,0.0,0.0,0.0
0.133545,0.004395,1.00708,0.060976,0.365854,1.158537,0.0,0.0,0.0
0.092773,0.024414,1.015869,0.426829,0.121951,1.341463,0.0,0.0,0.0
0.172852,-0.009521,0.980469,0.731707,0.609756,1.768293,0.0,0.0,0.0
0.094727,0.016602,1.003174,-0.121951,0.121951,0.97561,0.0,0.0,0.0
0.155762,0.005127,1.009766,0.670732,0.243902,2.317073,0.0,0.0,0.0
0.143555,-0.030518,0.990967,-0.853659,0.060976,2.560976,0.0,0.0,0.0
0.182861,0.051758,0.993896,1.036585,0.121951,0.0,0.0,0.0,0.0
0.182617,-0.006348,1.013672,-8.902439,0.0,-2.317073,0.0,0.0,0.0
0.143311,-0.013672,1.01709,-1.585366,-0.426829,-1.95122,0.0,0.0,0.0
0.14917,-0.017334,1.005615,-0.426829,0.121951,-1.036585,0.0,0.0,0.0
0.156494,-0.00415,0.986816,-2.012195,0.121951,-0.853659,0.0,0.0,0.0
0.104736,-0.018311,1.009521,-12.865854,-0.487805,-2.073171,0.0,0.0,0.0
0.109619,-0.019287,0.993164,-1.463415,-0.853659,-1.707317,0.0,0.0,0.0
0.125488,-0.006104,1.007324,-1.036585,-0.243902,-2.134146,0.0,0.0,0.0
0.089355,0.001221,1.007324,-0.792683,-0.060976,-0.670732,0.0,0.0,0.0
0.083984,0.012695,1.001465,3.47561,-0.304878,-1.585366,0.0,0.0,0.0
0.059814,0.042725,0.997803,8.292683,-0.182927,-2.5,0.0,0.0,0.0
0.079834,0.038574,1.00415,6.097561,0.060976,-3.231707,0.0,0.0,0.0
0.043945,0.022949,0.984131,2.378049,0.243902,-3.719512,0.0,0.0,0.0
0.037842,0.031982,1.00708,0.365854,-0.304878,-4.634146,0.0,0.0,0.0
0.032471,0.022949,1.007568,-3.719512,0.182927,-5.243903,0.0,0.0,0.0
0.0625,0.088135,1.010498,-2.134146,0.121951,-4.573171,0.0,0.0,0.0
-0.00415,0.061035,1.00708,-1.219512,-0.670732,-6.646342,0.0,0.0,0.0
-0.022949,0.035645,1.010742,4.390244,0.487805,-7.073171,0.0,0.0,0.0
-0.005127,0.061768,1.009277,7.378049,-0.304878,-5.426829,0.0,0.0,0.0
0.008301,0.018799,1.011963,8.47561,-0.121951,-7.621952,0.0,0.0,0.0
0.056396,0.006348,0.995361,15.243903,0.243902,-7.012195,0.0,0.0,0.0
-0.037354,0.069824,1.008301,-0.487805,-0.609756,-8.902439,0.0,0.0,0.0
-0.02832,0.068604,1.009277,0.853659,-0.243902,-9.756098,0.0,0.0,0.0
-0.133057,0.050781,0.996582,0.365854,-0.792683,-9.756098,0.0,0.0,0.0
0.036865,0.000244,1.013916,-1.219512,-0.304878,-9.634147,0.0,0.0,0.0
-0.049316,0.034668,1.007812,-5.54878,-0.670732,-9.329268,0.0,0.0,0.0
0.010498,0.005127,0.996094,0.243902,-0.97561,-9.634147,0.0,0.0,0.0
-0.084229,0.063477,0.993408,1.402439,-0.426829,-10.731708,0.0,0.0,0.0
-0.147949,0.035889,1.015625,-1.219512,-0.609756,-10.365854,0.0,0.0,0.0
-0.035156,0.031006,0.99585,4.02439,-0.670732,-10.0,0.0,0.0,0.0
-0.106689,0.024658,0.99707,-0.914634,-0.792683,-11.097561,0.0,0.0,0.0
-0.123535,0.020752,0.990234,0.609756,-0.487805,-10.365854,0.0,0.0,0.0
-0.15332,0.002686,1.009521,-0.731707,-1.158537,-9.939025,0.0,0.0,0.0
-0.127441,0.011719,0.986572,-1.646341,-0.487805,-9.02439,0.0,0.0,0.0
