0.150146,-0.027344,0.992676,-1.524390,0.000000,-1.707317,0.000000.1,0.000000.2,0.000000.3
0.130615,-0.050049,0.999023,-5.731708,-0.182927,-1.036585,0.0,0.0,0.0
0.140625,-0.111816,0.979248,-8.841464,-0.121951,1.219512,0.0,0.0,0.0
0.121826,-0.065674,0.999268,-20.060976,0.0,4.634146,0.0,0.0,0.0
0.185303,-0.082764,1.006836,-20.487804,0.487805,5.670732,0.0,0.0,0.0
0.09668,-0.037109,1.027832,-4.207317,0.426829,9.573171,0.0,0.0,0.0
0.102783,0.011719,1.001221,2.926829,1.036585,12.987805,0.0,0.0,0.0
0.122559,0.053223,1.016846,17.195122,0.853659,12.317074,0.0,0.0,0.0
0.100342,0.07373,1.028809,31.95122,0.792683,14.817074,0.0,0.0,0.0
0.13501,0.094727,0.905273,20.975611,0.914634,13.231708,0.0,0.0,0.0
0.078857,0.041992,1.006592,1.829268,0.609756,10.609756,0.0,0.0,0.0
0.088379,0.013916,0.99707,0.487805,0.609756,9.939025,0.0,0.0,0.0
0.102783,0.038086,1.011475,-0.731707,0.792683,10.0,0.0,0.0,0.0
0.074951,0.01416,0.986328,-4.878049,0.792683,9.146341,0.0,0.0,0.0
0.085938,0.000977,1.016113,-13.719513,0.365854,8.841464,0.0,0.0,0.0
0.130371,-0.014404,1.016113,-8.963415,0.609756,9.939025,0.0,0.0,0.0
0.112549,-0.04126,1.000244,0.426829,0.914634,13.47561,0.0,0.0,0.0
0.111084,0.053223,0.991943,0.365854,1.158537,15.0,0.0,0.0,0.0
0.0979,0.070801,1.010742,4.085366,0.487805,12.256098,0.0,0.0,0.0
0.098877,0.030518,1.02832,12.5,1.280488,10.426829,0.0,0.0,0.0
0.103027,0.030273,0.932617,10.792684,1.036585,11.219512,0.0,0.0,0.0
0.115967,0.052979,1.012695,0.060976,0.548781,9.512196,0.0,0.0,0.0
0.054199,0.057129,1.001709,0.914634,0.304878,7.804878,0.0,0.0,0.0
0.078613,0.066162,1.016846,0.670732,0.121951,4.268293,0.0,0.0,0.0
0.04541,0.048096,0.999512,-1.158537,0.426829,1.463415,0.0,0.0,0.0
0.098633,0.031738,1.003418,0.914634,0.365854,1.52439,0.0,0.0,0.0
0.054443,0.039307,1.016113,-1.829268,0.304878,0.426829,0.0,0.0,0.0
0.043945,0.053467,0.989502,1.402439,-0.121951,-0.731707,0.0,0.0,0.0
0.005859,0.017334,0.990723,0.365854,-0.365854,-2.682927,0.0,0.0,0.0
