-0.007812,0.018555,1.002930,-0.182927,0.000000,-0.914634,0.000000.1,0.000000.2,0.000000.3
-0.000488,0.012207,0.998291,-0.304878,-0.121951,-0.670732,0.0,0.0,0.0
-0.002686,0.019043,0.997803,-0.426829,-0.182927,-0.426829,0.0,0.0,0.0
-0.002441,0.032471,1.002441,0.0,0.060976,-0.670732,0.0,0.0,0.0
-0.003662,0.015381,1.001221,0.060976,0.060976,-1.402439,0.0,0.0,0.0
-0.008057,0.024658,1.004395,0.121951,0.060976,-1.402439,0.0,0.0,0.0
-0.006836,0.035156,0.998779,0.243902,0.121951,-1.768293,0.0,0.0,0.0
-0.005859,0.028809,0.998291,0.426829,0.182927,-1.95122,0.0,0.0,0.0
-0.007324,0.01123,1.01001,0.060976,0.0,-2.073171,0.0,0.0,0.0
-0.003174,0.013916,1.001221,0.060976,0.121951,-1.585366,0.0,0.0,0.0
-0.003662,0.016602,1.002686,0.0,-0.304878,-1.707317,0.0,0.0,0.0
-0.001953,0.005127,1.005127,0.243902,0.121951,-1.829268,0.0,0.0,0.0
-0.009277,0.020264,1.001465,0.182927,-0.487805,-1.463415,0.0,0.0,0.0
-0.007568,0.020264,1.000244,0.060976,-0.060976,-1.463415,0.0,0.0,0.0
-0.002197,0.01001,1.006836,0.121951,-0.365854,-1.52439,0.0,0.0,0.0
-0.009521,0.02832,1.001709,0.0,0.121951,-0.609756,0.0,0.0,0.0
-0.007568,0.014893,1.005859,-0.121951,0.182927,-0.914634,0.0,0.0,0.0
-0.022461,0.001221,0.997803,0.0,-0.121951,-0.97561,0.0,0.0,0.0
-0.011719,0.01001,0.995605,-0.060976,-0.060976,-0.243902,0.0,0.0,0.0
-0.000732,0.038818,0.990479,0.609756,-0.853659,0.426829,0.0,0.0,0.0
-0.005615,0.019775,1.012939,-0.670732,-0.426829,-0.182927,0.0,0.0,0.0
-0.011719,0.020752,1.00415,-0.487805,-0.243902,-0.792683,0.0,0.0,0.0
-0.0354,-0.00293,1.005371,-0.670732,0.060976,-0.426829,0.0,0.0,0.0
-0.021729,0.003418,0.998779,-0.487805,-0.060976,-0.243902,0.0,0.0,0.0
-0.003662,0.016357,1.002686,-0.487805,0.121951,0.060976,0.0,0.0,0.0
-0.013428,0.003662,0.99707,-0.182927,0.060976,-0.060976,0.0,0.0,0.0
0.003418,0.037109,1.001465,0.487805,-0.060976,0.670732,0.0,0.0,0.0
-0.012207,0.023926,1.002441,-0.060976,0.0,0.548781,0.0,0.0,0.0
-0.009766,0.022217,1.007812,-0.670732,0.121951,0.670732,0.0,0.0,0.0
-0.030762,0.007568,1.006104,-0.487805,-0.243902,1.280488,0.0,0.0,0.0
-0.021729,0.023193,1.005615,0.182927,0.060976,1.768293,0.0,0.0,0.0
-0.022705,0.028564,0.996826,0.0,0.121951,1.768293,0.0,0.0,0.0
-0.07251,0.02417,1.0,-0.609756,-0.182927,1.036585,0.0,0.0,0.0
-0.052002,0.024414,0.997559,0.121951,0.121951,1.036585,0.0,0.0,0.0
-0.070557,0.0271,1.003174,0.060976,0.0,0.792683,0.0,0.0,0.0
-0.128906,0.009033,1.002197,-0.365854,0.182927,1.52439,0.0,0.0,0.0
-0.124023,0.015381,1.006348,0.0,0.243902,2.621951,0.0,0.0,0.0
-0.144287,0.028076,1.001221,-0.548781,0.487805,4.146341,0.0,0.0,0.0
-0.173096,0.01123,1.002441,-0.182927,0.426829,5.182927,0.0,0.0,0.0
-0.166748,0.039062,0.992432,1.280488,0.426829,7.743903,0.0,0.0,0.0
-0.187012,0.045654,1.0,0.487805,0.243902,8.597561,0.0,0.0,0.0
-0.152588,0.027588,1.005127,0.426829,0.670732,11.158537,0.0,0.0,0.0
-0.238037,0.075928,0.998047,0.304878,0.670732,11.829268,0.0,0.0,0.0
-0.107178,0.075439,0.988281,3.780488,0.487805,11.585366,0.0,0.0,0.0
-0.22168,0.061279,1.008301,-0.365854,0.487805,10.54878,0.0,0.0,0.0
-0.19458,0.098389,0.99585,1.585366,0.487805,9.817074,0.0,0.0,0.0
-0.125977,0.074463,0.995605,1.585366,0.487805,7.804878,0.0,0.0,0.0
-0.221436,0.032715,1.001465,0.243902,0.060976,6.585366,0.0,0.0,0.0
-0.176025,0.035156,0.997803,0.731707,0.97561,7.926829,0.0,0.0,0.0
-0.180908,0.053955,1.015869,-1.341463,0.426829,8.231708,0.0,0.0,0.0
-0.124023,0.035156,0.998047,0.365854,0.609756,6.219512,0.0,0.0,0.0
-0.162842,0.029053,1.001221,0.121951,0.304878,9.207317,0.0,0.0,0.0
-0.0896,0.122559,1.005859,1.585366,0.609756,8.353659,0.0,0.0,0.0
-0.106934,0.115967,1.005859,0.792683,0.243902,7.073171,0.0,0.0,0.0
-0.112305,0.10791,1.00415,0.426829,0.426829,8.04878,0.0,0.0,0.0
-0.072998,0.068604,0.992432,3.170732,0.365854,5.853659,0.0,0.0,0.0
-0.073486,0.005859,1.01001,-0.609756,0.792683,3.109756,0.0,0.0,0.0
-0.135254,0.058838,1.009766,-1.646341,0.121951,3.04878,0.0,0.0,0.0
-0.067383,0.025879,1.001221,-1.768293,0.792683,3.597561,0.0,0.0,0.0
-0.091064,-0.020264,0.992188,-6.097561,0.731707,2.073171,0.0,0.0,0.0
-0.014404,0.04248,1.018799,-4.146341,-0.243902,3.719512,0.0,0.0,0.0
-0.077148,-0.063477,1.004639,-4.695122,0.426829,4.085366,0.0,0.0,0.0
-0.078857,-0.051514,0.995117,1.097561,0.548781,7.012195,0.0,0.0,0.0
0.033203,-0.041748,1.017578,-0.060976,0.0,7.865854,0.0,0.0,0.0
-0.068115,-0.00293,0.990234,-1.341463,0.121951,8.231708,0.0,0.0,0.0
-0.046875,-0.000244,1.005859,-0.060976,0.365854,7.865854,0.0,0.0,0.0
0.052002,-0.005371,1.018311,4.512195,0.731707,9.329268,0.0,0.0,0.0
0.040283,-0.009033,0.999023,-3.780488,0.365854,9.45122,0.0,0.0,0.0
-0.045898,0.006348,0.992188,0.365854,0.0,8.536586,0.0,0.0,0.0
0.035156,-0.026367,1.003662,0.670732,0.609756,7.926829,0.0,0.0,0.0
0.01709,-0.01001,1.011963,-1.158537,0.487805,8.109756,0.0,0.0,0.0
0.001709,-0.034424,0.998779,-1.158537,0.0,7.682927,0.0,0.0,0.0
0.020508,-0.044922,1.01416,-3.902439,0.609756,8.658537,0.0,0.0,0.0
0.01001,-0.105225,1.00415,-1.707317,0.060976,10.182927,0.0,0.0,0.0
0.040527,-0.050537,1.00293,-2.195122,0.426829,12.5,0.0,0.0,0.0
-0.071289,-0.017334,0.993408,-2.926829,0.121951,13.353659,0.0,0.0,0.0
-0.001709,-0.007812,0.997803,0.853659,0.426829,15.121951,0.0,0.0,0.0
0.031006,-0.004883,0.999023,2.256098,0.548781,15.304878,0.0,0.0,0.0
-0.021484,-0.013184,0.999023,1.768293,0.792683,14.817074,0.0,0.0,0.0
0.055908,-0.02002,1.018555,3.841464,0.914634,16.036585,0.0,0.0,0.0
0.060303,-0.036377,0.984131,7.073171,0.487805,15.54878,0.0,0.0,0.0
0.021973,-0.030518,1.011475,-1.341463,1.036585,16.646341,0.0,0.0,0.0
0.038086,0.001221,0.996094,-1.402439,0.609756,16.402439,0.0,0.0,0.0
0.015625,0.000488,1.00708,0.182927,0.792683,15.487805,0.0,0.0,0.0
0.043457,-0.001709,1.000977,-0.426829,0.487805,13.963415,0.0,0.0,0.0
0.043457,-0.025391,0.993896,-1.158537,0.914634,13.841464,0.0,0.0,0.0
0.027344,-0.013184,1.00293,0.365854,1.158537,12.317074,0.0,0.0,0.0
0.032227,0.02002,0.996338,1.036585,0.97561,13.47561,0.0,0.0,0.0
0.056641,-0.002197,0.999268,0.97561,0.853659,12.5,0.0,0.0,0.0
0.03833,-0.000244,1.003662,0.426829,0.304878,12.195122,0.0,0.0,0.0
-0.014648,0.026367,1.001465,1.219512,0.243902,11.097561,0.0,0.0,0.0
0.040527,0.01709,1.000488,1.768293,-0.060976,10.0,0.0,0.0,0.0
0.036133,0.016846,1.006104,-0.426829,0.365854,8.902439,0.0,0.0,0.0
0.010498,0.010986,0.990723,-2.012195,0.243902,6.768293,0.0,0.0,0.0
0.032471,-0.018311,1.016602,-1.52439,0.243902,5.914634,0.0,0.0,0.0
0.038818,0.00415,1.011963,0.121951,-0.365854,4.512195,0.0,0.0,0.0
0.04248,0.003906,0.982178,0.426829,0.182927,4.085366,0.0,0.0,0.0
0.03833,0.004883,1.013428,0.365854,-0.243902,3.292683,0.0,0.0,0.0
0.032227,-0.04126,1.000732,0.670732,-0.365854,1.890244,0.0,0.0,0.0
0.044189,-0.005859,1.008301,0.670732,-0.121951,2.5,0.0,0.0,0.0
0.078613,-0.038574,1.009033,-0.182927,-0.426829,2.5,0.0,0.0,0.0
0.080566,0.00293,0.990723,-0.182927,-0.365854,2.682927,0.0,0.0,0.0
0.065918,-0.0271,1.014404,-0.792683,-0.060976,3.04878,0.0,0.0,0.0
