-0.005371,0.013428,1.003418,0.426829,0.060976,0.000000,0.000000.1,0.000000.2,0.000000.3
0.0,0.018066,1.000488,0.548781,-0.182927,0.0,0.0,0.0,0.0
-0.002686,0.01416,1.003174,-0.182927,0.060976,0.365854,0.0,0.0,0.0
0.002441,0.018799,1.003418,-0.182927,0.060976,0.060976,0.0,0.0,0.0
-0.004395,0.015625,1.002441,-0.426829,-0.060976,0.0,0.0,0.0,0.0
-0.00293,0.012207,1.005615,0.121951,0.121951,0.182927,0.0,0.0,0.0
-0.001953,0.017334,1.002197,0.121951,0.121951,-0.060976,0.0,0.0,0.0
-0.002197,0.016846,1.001221,0.243902,-0.182927,-0.060976,0.0,0.0,0.0
0.000732,0.019531,0.999756,0.0,-0.182927,-0.060976,0.0,0.0,0.0
-0.004639,0.016357,0.99707,-0.182927,-0.060976,0.121951,0.0,0.0,0.0
-0.007812,0.014648,1.001709,-0.182927,0.0,0.121951,0.0,0.0,0.0
-0.00415,0.018311,1.001465,-0.365854,-0.365854,0.0,0.0,0.0,0.0
0.005615,0.020264,1.001465,0.0,0.121951,-0.060976,0.0,0.0,0.0
-0.001953,0.019531,1.003662,0.0,-0.121951,-0.121951,0.0,0.0,0.0
-0.005371,0.006592,1.003174,0.182927,0.060976,-0.243902,0.0,0.0,0.0
-0.002686,0.016357,1.00293,0.182927,0.0,0.0,0.0,0.0,0.0
-0.002686,0.013672,1.002197,-0.121951,-0.304878,0.121951,0.0,0.0,0.0
0.004395,0.015869,1.001221,-0.121951,0.060976,-0.121951,0.0,0.0,0.0
-0.00293,0.012939,1.000244,0.121951,-0.060976,-0.121951,0.0,0.0,0.0
-0.000488,0.009521,0.999756,-0.060976,0.0,-0.182927,0.0,0.0,0.0
-0.005371,0.01416,1.001465,0.182927,0.060976,0.0,0.0,0.0,0.0
0.000732,0.018555,1.003906,0.365854,-0.060976,-0.060976,0.0,0.0,0.0
0.003662,0.015625,1.001709,0.060976,0.0,-0.121951,0.0,0.0,0.0
