-0.005859,0.017578,1.003418,-0.182927,-0.121951,0.000000,0.000000.1,0.000000.2,0.000000.3
-0.005615,0.018555,1.001465,0.121951,0.121951,-0.060976,0.0,0.0,0.0
-0.007324,0.02832,1.005859,0.426829,0.121951,0.243902,0.0,0.0,0.0
-0.006348,0.021729,0.999023,0.426829,0.121951,0.0,0.0,0.0,0.0
-0.005371,0.022705,0.999756,0.060976,0.121951,-0.060976,0.0,0.0,0.0
-0.002441,0.016846,1.000732,-0.121951,-0.182927,-0.060976,0.0,0.0,0.0
-0.005371,0.018555,1.002686,-0.548781,-0.060976,-0.243902,0.0,0.0,0.0
0.002441,0.011475,1.00708,-0.426829,0.243902,-0.060976,0.0,0.0,0.0
0.000488,0.010742,1.00293,-0.060976,-0.121951,0.060976,0.0,0.0,0.0
-0.001953,0.019287,1.003174,0.121951,0.060976,0.0,0.0,0.0,0.0
-0.004639,0.024414,1.000244,0.304878,0.060976,-0.304878,0.0,0.0,0.0
0.000244,0.023926,0.997559,0.182927,-0.182927,0.182927,0.0,0.0,0.0
-0.001221,0.018066,0.995117,-0.121951,0.243902,0.121951,0.0,0.0,0.0
-0.001953,0.016357,1.004395,-0.243902,-0.121951,0.365854,0.0,0.0,0.0
-0.006104,0.005859,1.00415,-0.426829,0.121951,-0.182927,0.0,0.0,0.0
-0.002197,0.002441,1.003662,-0.426829,0.182927,0.182927,0.0,0.0,0.0
-0.00708,0.017822,1.005615,0.243902,-0.121951,-0.243902,0.0,0.0,0.0
0.002197,0.022217,1.001709,0.243902,-0.060976,0.121951,0.0,0.0,0.0
-0.002441,0.023438,1.002441,0.609756,-0.121951,0.0,0.0,0.0,0.0
-0.005127,0.020752,0.999512,0.365854,0.121951,0.121951,0.0,0.0,0.0
-0.001953,0.017578,1.004883,0.0,-0.182927,0.182927,0.0,0.0,0.0
0.001221,0.016846,1.00293,-0.182927,0.182927,-0.121951,0.0,0.0,0.0
0.001221,0.011963,1.002441,-0.609756,-0.243902,0.243902,0.0,0.0,0.0
0.001709,0.015625,1.000732,-0.060976,0.0,0.0,0.0,0.0,0.0
-0.007812,0.024414,0.996826,0.0,0.121951,0.060976,0.0,0.0,0.0
-0.00293,0.015381,1.001953,0.243902,0.304878,0.243902,0.0,0.0,0.0
-0.006104,0.025146,1.001709,0.426829,-0.243902,-0.121951,0.0,0.0,0.0
-0.004395,0.016602,1.003174,-0.182927,0.060976,-0.121951,0.0,0.0,0.0
-0.001465,0.01416,1.006592,-0.060976,-0.243902,0.182927,0.0,0.0,0.0
-0.002686,0.009521,1.006348,-0.548781,-0.121951,-0.060976,0.0,0.0,0.0
-0.005859,0.015381,1.001953,-0.182927,-0.182927,0.121951,0.0,0.0,0.0
