-0.109375,0.050293,1.011719,0.426829,0.426829.1,6.219512,0.000000,0.000000.1,0.000000.2
-0.063232,-0.018555,1.011719,0.182927,0.365854,6.707317,0.0,0.0,0.0
-0.011719,0.098145,0.991455,1.463415,0.0,7.195122,0.0,0.0,0.0
-0.056396,0.008301,1.014404,-2.195122,0.121951,4.329268,0.0,0.0,0.0
-0.064697,0.035156,1.003174,-0.609756,0.060976,3.719512,0.0,0.0,0.0
-0.048584,0.030273,1.003174,-0.670732,0.060976,3.170732,0.0,0.0,0.0
-0.039062,0.028076,1.00293,-0.365854,0.121951,2.5,0.0,0.0,0.0
-0.040527,0.012207,0.998535,0.0,-0.182927,1.707317,0.0,0.0,0.0
-0.019043,0.015625,0.993896,0.365854,0.182927,1.646341,0.0,0.0,0.0
0.004639,0.032471,0.993652,0.487805,0.182927,1.341463,0.0,0.0,0.0
-0.027832,0.024902,1.000732,-0.304878,0.0,0.914634,0.0,0.0,0.0
-0.009277,0.010986,0.999023,-0.060976,0.060976,0.853659,0.0,0.0,0.0
-0.003418,0.026855,0.998779,-0.243902,0.121951,-0.304878,0.0,0.0,0.0
-0.015869,0.02417,1.01001,0.487805,-0.060976,-0.487805,0.0,0.0,0.0
-0.033447,0.001221,1.004395,0.426829,-0.365854,-1.280488,0.0,0.0,0.0
0.022949,0.008301,1.011963,-0.182927,-0.182927,-0.121951,0.0,0.0,0.0
-0.003662,0.00415,0.991455,-0.365854,0.121951,-0.182927,0.0,0.0,0.0
0.016113,0.003418,0.99292,-0.670732,0.121951,0.365854,0.0,0.0,0.0
0.011719,0.016846,0.991455,-0.548781,-0.243902,0.060976,0.0,0.0,0.0
0.031006,0.000244,1.006592,0.0,0.060976,0.304878,0.0,0.0,0.0
0.040283,0.002686,0.999268,-0.304878,0.060976,0.609756,0.0,0.0,0.0
0.018311,0.004395,1.004395,0.243902,-0.060976,0.609756,0.0,0.0,0.0
0.040039,0.022217,1.002441,0.426829,-0.121951,0.548781,0.0,0.0,0.0
0.010254,0.011719,1.005615,0.243902,-0.365854,1.097561,0.0,0.0,0.0
0.028809,0.000488,0.997314,-0.121951,-0.121951,1.829268,0.0,0.0,0.0
0.010742,-0.000244,0.998535,0.121951,-0.365854,2.682927,0.0,0.0,0.0
0.040283,0.002197,1.002197,0.060976,0.0,3.536585,0.0,0.0,0.0
0.026611,0.020508,0.997314,0.060976,0.304878,3.109756,0.0,0.0,0.0
-0.00415,-0.014404,1.013184,-0.060976,0.0,2.865854,0.0,0.0,0.0
0.040771,0.008057,1.00708,0.182927,0.0,3.353659,0.0,0.0,0.0
0.043457,0.007568,0.992432,0.304878,0.365854,2.865854,0.0,0.0,0.0
0.08374,0.025146,0.997803,-0.365854,-0.121951,2.926829,0.0,0.0,0.0
0.068848,0.006348,1.000732,-0.121951,0.060976,1.585366,0.0,0.0,0.0
0.091553,0.009033,1.001221,-0.365854,0.304878,0.792683,0.0,0.0,0.0
0.00415,0.01001,1.001709,0.0,-0.060976,0.243902,0.0,0.0,0.0
0.001221,0.013428,1.004883,0.182927,0.487805,0.060976,0.0,0.0,0.0
0.000977,0.010742,1.003906,0.365854,0.121951,0.243902,0.0,0.0,0.0
0.000732,0.01001,1.003906,0.426829,0.243902,0.060976,0.0,0.0,0.0
-0.000244,0.006104,0.999756,0.060976,-0.060976,0.426829,0.0,0.0,0.0
0.019531,-0.040283,0.999512,0.304878,0.060976,1.890244,0.0,0.0,0.0
0.015869,-0.036865,1.00293,-1.158537,0.365854,5.365854,0.0,0.0,0.0
0.024414,-0.054443,0.997314,-2.5,0.609756,8.47561,0.0,0.0,0.0
0.019287,-0.035645,1.004639,-2.317073,0.426829,11.646341,0.0,0.0,0.0
0.045166,-0.045898,1.014648,-0.609756,0.426829,14.390244,0.0,0.0,0.0
0.028809,-0.023193,1.017578,0.304878,0.426829,17.073172,0.0,0.0,0.0
0.05835,-0.035156,1.001709,-0.426829,0.792683,21.402439,0.0,0.0,0.0
0.08252,0.003662,1.004883,0.426829,0.731707,23.902439,0.0,0.0,0.0
0.239014,0.009033,1.007812,0.609756,1.219512,23.658537,0.0,0.0,0.0
0.088623,0.023438,0.995361,-0.182927,0.609756,22.195122,0.0,0.0,0.0
0.106445,0.017334,1.009766,1.768293,0.914634,20.304878,0.0,0.0,0.0
0.049316,0.034424,0.977783,5.243903,0.792683,18.597561,0.0,0.0,0.0
0.092773,0.030762,1.006592,0.792683,0.548781,18.04878,0.0,0.0,0.0
0.10083,0.036865,0.995605,0.426829,0.731707,16.829269,0.0,0.0,0.0
0.064209,0.071045,0.993896,0.060976,0.792683,14.878049,0.0,0.0,0.0
0.112793,0.027588,1.003906,-0.853659,0.548781,13.536586,0.0,0.0,0.0
0.089111,0.017334,0.994385,1.097561,0.670732,12.134147,0.0,0.0,0.0
0.123047,0.009277,1.003662,-0.060976,0.792683,12.560976,0.0,0.0,0.0
0.142334,0.01709,0.996582,-1.585366,0.548781,11.097561,0.0,0.0,0.0
0.142334,-0.01001,1.00293,-5.182927,0.426829,10.609756,0.0,0.0,0.0
0.150146,-0.00415,1.0,-0.97561,0.731707,9.146341,0.0,0.0,0.0
0.152832,-0.009766,0.989258,1.158537,0.731707,8.47561,0.0,0.0,0.0
0.139893,-0.01416,1.002197,0.914634,0.670732,8.109756,0.0,0.0,0.0
0.165039,-0.02417,1.027344,-0.548781,0.914634,8.597561,0.0,0.0,0.0
0.143555,-0.020752,0.994141,-0.365854,0.792683,8.902439,0.0,0.0,0.0
0.136963,0.006836,1.000244,0.121951,0.548781,8.963415,0.0,0.0,0.0
0.160889,0.01001,1.001221,0.426829,0.914634,8.353659,0.0,0.0,0.0
0.138916,0.013916,1.016113,0.548781,0.97561,8.04878,0.0,0.0,0.0
